date,nav
2009-11-30,9.7200
2009-12-31,10.2800
2010-01-29,9.9400
2010-02-26,10.2500
2010-03-31,10.9600
2010-04-30,11.2100
2010-05-31,11.1500
2010-06-30,11.2400
2010-07-30,11.0800
2010-08-31,11.0700
2010-09-30,11.3300
2010-10-29,11.5500
2010-11-30,11.9200
2010-12-31,12.1500
2011-01-31,11.5600
2011-02-28,11.2000
2011-03-31,11.3800
2011-04-29,11.0700
2011-05-31,11.1100
2011-06-30,10.8200
2011-07-29,10.8600
2011-08-31,9.6800
2011-09-30,9.1400
2011-10-28,9.9900
2011-11-30,9.7500
2011-12-30,9.8300
2012-01-31,10.9200
2012-02-29,11.0700
2012-03-30,10.6800
2012-04-30,10.8100
2012-05-31,10.1600
2012-06-29,10.4400
2012-07-31,10.8400
2012-08-31,10.4300
2012-09-28,10.9300
2012-10-30,10.9100
2012-11-30,10.9900
2012-12-31,11.2400
2013-01-31,11.2800
2013-02-28,11.3500
2013-03-29,11.3100
2013-04-30,11.2300
2013-05-31,10.9100
2013-06-28,10.2700
2013-07-31,10.3100
2013-08-30,10.1000
2013-09-30,10.5400
2013-10-30,10.7800
2013-11-29,11.0500
2013-12-31,10.7900
2014-01-31,10.2400
2014-02-28,10.4700
2014-03-31,10.7300
2014-04-30,10.8800
2014-05-30,11.6500
2014-06-30,11.9000
2014-07-31,12.4300
2014-08-29,12.8500
2014-09-30,12.7200
2014-10-30,12.8800
2014-11-28,13.1400
2014-12-31,13.1900
2015-01-30,14.3300
2015-02-27,14.8500
2015-03-31,15.1900
2015-04-30,15.2800
2015-05-29,15.4200
2015-06-30,14.5800
2015-07-31,13.9200
2015-08-31,12.4100
2015-09-30,12.1300
2015-10-30,13.1300
2015-11-30,13.1800
2015-12-31,12.5600
2016-01-29,11.6800
2016-02-29,11.5400
2016-03-31,12.2300
2016-04-29,12.1500
2016-05-31,12.2800
2016-06-30,12.8100
2016-07-29,13.1900
2016-08-31,13.4500
2016-09-30,13.5400
2016-10-28,13.6300
2016-11-30,13.5900
2016-12-30,13.4900
2017-01-31,13.9100
2017-02-28,14.5000
2017-03-31,14.8100
2017-04-28,14.5300
2017-05-31,14.6900
2017-06-30,14.2500
2017-07-31,14.5100
2017-08-31,14.4200
2017-09-29,14.1900
2017-10-30,15.0100
2017-11-30,14.7000
2017-12-29,14.9300
2018-01-31,15.3300
2018-02-28,14.6400
2018-03-30,14.2900
2018-04-30,14.7800
2018-05-31,14.9400
2018-06-29,14.3500
2018-07-31,14.5400
2018-08-31,14.5600
2018-09-28,14.4500
2018-10-30,13.1700
2018-11-30,13.9800
2018-12-31,13.4600
2019-01-31,14.3500
2019-02-28,14.3900
2019-03-29,14.9200
2019-04-30,15.1200
2019-05-31,14.2000
2019-06-28,14.6900
2019-07-31,14.5000
2019-08-30,13.9500
2019-09-30,14.4200
2019-10-30,14.6400
2019-11-29,14.7500
2019-12-31,15.2500
2020-01-31,14.6300
2020-02-28,13.9800
2020-03-31,12.0100
2020-04-30,13.1400
2020-05-29,12.7000
2020-06-30,13.5700
2020-07-31,13.5900
2020-08-31,14.0000
2020-09-30,13.8000
2020-10-30,13.9100
2020-11-30,15.2500
2020-12-31,15.7600
2021-01-29,16.4000
2021-02-26,17.0700
2021-03-31,17.5500
2021-04-30,16.9400
2021-05-31,17.1800
2021-06-30,17.4500
2021-07-30,16.5600
2021-08-31,17.0700
2021-09-30,16.9600
2021-10-29,17.3400
2021-11-30,17.1000
2021-12-31,17.4300
2022-01-31,17.6900
2022-02-28,17.0300
2022-03-31,16.8800
2022-04-29,17.0000
2022-05-31,16.8500
2022-06-30,16.4200
2022-07-29,16.5500
2022-08-31,16.8400
2022-09-30,15.2800
2022-10-28,14.1600
2022-11-30,16.1000
2022-12-30,15.5500
2023-01-31,16.7700
2023-02-28,15.8700
2023-03-31,16.2700
2023-04-28,15.8400
2023-05-31,15.8900
2023-06-30,16.2200
2023-07-31,17.1300
2023-08-31,16.2800
2023-09-29,16.2000
2023-10-30,15.4100
2023-11-30,15.5700
2023-12-29,15.9100
2024-01-31,15.2500
2024-02-29,16.2800
2024-03-29,16.7800
2024-04-30,16.9500
2024-05-31,16.8900
2024-06-28,18.0500
2024-07-31,17.4900
2024-08-30,17.3400
2024-09-30,18.4300
2024-10-30,18.4700
2024-11-29,18.3100
2024-12-31,18.7400
2025-01-31,19.2800
2025-02-28,19.8000
2025-03-31,19.1900
2025-04-30,18.2300
2025-05-30,19.5200
2025-06-30,20.4400
2025-07-31,21.0700
2025-08-29,20.9200
2025-09-30,23.2900
2025-10-30,25.1600
2025-11-28,23.9600
2025-12-31,24.5200
2026-01-30,26.7100
2026-02-27,28.4600
2026-03-31,25.0600
2026-04-30,28.6300
2026-05-29,32.1600
2026-06-10,30.1700
