date,nav
2009-11-12,10.0000
2009-11-13,10.0000
2009-11-16,10.0000
2009-11-17,10.0000
2009-11-18,9.9800
2009-11-19,9.9200
2009-11-20,9.9300
2009-11-23,10.0300
2009-11-24,9.9100
2009-11-25,9.9400
2009-11-26,9.8700
2009-11-27,9.6800
2009-11-30,9.7200
2009-12-01,9.8500
2009-12-02,9.9100
2009-12-03,9.8700
2009-12-04,9.9400
2009-12-07,10.0300
2009-12-08,9.9500
2009-12-09,9.9300
2009-12-10,9.9700
2009-12-11,9.9600
2009-12-14,10.0700
2009-12-15,10.0600
2009-12-16,10.0600
2009-12-17,10.0600
2009-12-18,10.0800
2009-12-21,10.0200
2009-12-22,10.1200
2009-12-23,10.1900
2009-12-24,10.2100
2009-12-28,10.2000
2009-12-29,10.1900
2009-12-30,10.2700
2009-12-31,10.2800
2010-01-04,10.4600
2010-01-05,10.5700
2010-01-06,10.7200
2010-01-07,10.6600
2010-01-08,10.7200
2010-01-11,10.6200
2010-01-12,10.5700
2010-01-13,10.4500
2010-01-14,10.5100
2010-01-15,10.5200
2010-01-18,10.5400
2010-01-19,10.6900
2010-01-20,10.6000
2010-01-21,10.4100
2010-01-22,10.1500
2010-01-25,10.1800
2010-01-26,9.9900
2010-01-27,9.9200
2010-01-28,9.9800
2010-01-29,9.9400
2010-02-01,10.0700
2010-02-02,10.0700
2010-02-03,10.1200
2010-02-04,9.9000
2010-02-05,9.7900
2010-02-09,9.9100
2010-02-10,9.9300
2010-02-11,10.1500
2010-02-12,10.1800
2010-02-15,10.1600
2010-02-16,10.2400
2010-02-17,10.2700
2010-02-18,10.3400
2010-02-19,10.2300
2010-02-22,10.2100
2010-02-23,10.2000
2010-02-24,10.2300
2010-02-25,10.1800
2010-02-26,10.2500
2010-03-01,10.4600
2010-03-02,10.5300
2010-03-03,10.4800
2010-03-04,10.3700
2010-03-05,10.6000
2010-03-08,10.6800
2010-03-09,10.7500
2010-03-10,10.7700
2010-03-11,10.7100
2010-03-12,10.6400
2010-03-15,10.5800
2010-03-16,10.6300
2010-03-17,10.7800
2010-03-18,10.7800
2010-03-19,10.7900
2010-03-22,10.8000
2010-03-23,10.8300
2010-03-24,10.8900
2010-03-25,10.8500
2010-03-26,10.9100
2010-03-29,10.9600
2010-03-30,11.0200
2010-03-31,10.9600
2010-04-01,11.2200
2010-04-02,11.2200
2010-04-06,11.4000
2010-04-07,11.4400
2010-04-08,11.4600
2010-04-09,11.5100
2010-04-12,11.2900
2010-04-13,11.2400
2010-04-14,11.3700
