date,nav
2005-05-31,4.2900
2005-06-30,4.4700
2005-07-29,4.6800
2005-08-31,4.6000
2005-09-30,4.8200
2005-10-28,4.5700
2005-11-30,4.9300
2005-12-30,4.9700
2006-01-31,5.0700
2006-02-28,5.1500
2006-03-31,5.1700
2006-04-28,5.2000
2006-05-31,4.7900
2006-06-30,4.7500
2006-07-31,4.7800
2006-08-31,4.8200
2006-09-29,4.9500
2006-10-30,5.1400
2006-11-30,5.1700
2006-12-29,5.3400
2007-01-31,5.4800
2007-02-28,5.2800
2007-03-30,5.3300
2007-04-30,5.5100
2007-05-31,5.7000
2007-06-29,5.6900
2007-07-31,5.5300
2007-08-31,5.4100
2007-09-28,5.4900
2007-10-30,5.4600
2007-11-30,5.2000
2007-12-31,5.1900
2008-01-31,4.6500
2008-02-29,4.5200
2008-03-31,4.2300
2008-04-30,4.4800
2008-05-30,4.6200
2008-06-30,4.1100
2008-07-31,4.1800
2008-08-29,4.3000
2008-09-30,3.9000
2008-10-30,3.2400
2008-11-28,3.0000
2008-12-31,2.9000
2009-01-30,2.8100
2009-02-27,2.5500
2009-03-31,2.6800
2009-04-30,3.1000
2009-05-29,3.3400
2009-06-30,3.4000
2009-07-31,3.6800
2009-08-31,3.8100
2009-09-30,3.9600
2009-10-30,3.8100
2009-11-30,3.8600
2009-12-31,4.1000
2010-01-29,4.0300
2010-02-26,4.1300
2010-03-31,4.4800
2010-04-30,4.4900
2010-05-31,4.3300
2010-06-30,4.2200
2010-07-30,4.3600
2010-08-31,4.2800
2010-09-30,4.4500
2010-10-29,4.5800
2010-11-30,4.6500
2010-12-31,4.9300
2011-01-31,4.9900
2011-02-28,5.1100
2011-03-31,5.0100
2011-04-29,5.0000
2011-05-31,5.0700
2011-06-30,4.9300
2011-07-29,4.8000
2011-08-31,4.3100
2011-09-30,4.1200
2011-10-28,4.4900
2011-11-30,4.4000
2011-12-30,4.4800
2012-01-31,4.7700
2012-02-29,4.9100
2012-03-30,4.9700
2012-04-30,5.0100
2012-05-31,4.7900
2012-06-29,4.8800
2012-07-31,5.1400
2012-08-31,5.1100
2012-09-28,5.1300
2012-10-30,5.1100
2012-11-30,5.1800
2012-12-31,5.2300
2013-01-31,5.4000
2013-02-28,5.5400
2013-03-29,5.7000
2013-04-30,5.5700
2013-05-31,5.7900
2013-06-28,5.6000
2013-07-31,5.8600
2013-08-30,5.8000
2013-09-30,5.9700
2013-10-30,6.0600
2013-11-29,6.3300
2013-12-31,6.4500
2014-01-31,6.3500
2014-02-28,6.5400
2014-03-31,6.5300
2014-04-30,6.5400
2014-05-30,6.6800
2014-06-30,6.7300
2014-07-31,6.5300
2014-08-29,6.7200
2014-09-30,6.7400
2014-10-30,6.5300
2014-11-28,6.7600
2014-12-31,6.8600
2015-01-30,7.1400
2015-02-27,8.0000
2015-03-31,8.2400
2015-04-30,8.2600
2015-05-29,8.4800
2015-06-30,7.9800
2015-07-31,8.1300
2015-08-31,7.4700
2015-09-30,7.0600
2015-10-30,7.6000
2015-11-30,7.8900
2015-12-31,7.3400
2016-01-29,6.4900
2016-02-29,6.7300
2016-03-31,6.9700
2016-04-29,7.1300
2016-05-31,7.3700
2016-06-30,7.1300
2016-07-29,7.3700
2016-08-31,7.5600
2016-09-30,7.5900
2016-10-28,7.5900
2016-11-30,8.0100
2016-12-30,8.4100
2017-01-31,8.3900
2017-02-28,8.7300
2017-03-31,8.8100
2017-04-28,8.9100
2017-05-31,8.7000
2017-06-30,8.5300
2017-07-31,8.5500
2017-08-31,8.3700
2017-09-29,8.8100
2017-10-30,8.9300
2017-11-30,8.8200
2017-12-29,8.7800
2018-01-31,8.7900
2018-02-28,8.6600
2018-03-30,8.4700
2018-04-30,8.7400
2018-05-31,8.9600
2018-06-29,8.8300
2018-07-31,8.8200
2018-08-31,8.8400
2018-09-28,8.7600
2018-10-30,8.2000
2018-11-30,8.3900
2018-12-31,7.6200
2019-01-31,8.3600
2019-02-28,8.6000
2019-03-29,8.7500
2019-04-30,9.1800
2019-05-31,8.6400
2019-06-28,9.1400
2019-07-31,9.4100
2019-08-30,9.2400
2019-09-30,9.6300
2019-10-30,9.7800
2019-11-29,10.0800
2019-12-31,10.1900
2020-01-31,9.8900
2020-02-28,8.9600
2020-03-31,7.1500
2020-04-30,8.1600
2020-05-29,8.4800
2020-06-30,8.6000
2020-07-31,8.5100
2020-08-31,8.8900
2020-09-30,8.6600
2020-10-30,8.3700
2020-11-30,9.7400
2020-12-31,10.1000
