date,nav
2018-04-30,4.9600
2018-05-31,4.9900
2018-06-29,4.9700
2018-07-31,5.1300
2018-08-31,5.1900
2018-09-28,5.2300
2018-10-30,4.8900
2018-11-30,5.0500
2018-12-31,4.5800
2019-01-31,4.8400
2019-02-28,5.0700
2019-03-29,5.2200
2019-04-30,5.3900
2019-05-31,5.1000
2019-06-28,5.3400
2019-07-31,5.4700
2019-08-30,5.4500
2019-09-30,5.6500
2019-10-30,5.7600
2019-11-29,5.9500
2019-12-31,5.9600
2020-01-31,6.0300
2020-02-28,5.5400
2020-03-31,4.9000
2020-04-30,5.3600
2020-05-29,5.5500
2020-06-30,5.7000
2020-07-31,5.6600
2020-08-31,5.9500
2020-09-30,5.8600
2020-10-30,5.5500
2020-11-30,6.1100
2020-12-31,6.1600
2021-01-29,6.1100
2021-02-26,6.2100
2021-03-31,6.7800
2021-04-30,6.8800
2021-05-31,7.0000
2021-06-30,7.2100
2021-07-30,7.3500
2021-08-31,7.5200
2021-09-30,7.3300
2021-10-29,7.8400
2021-11-30,7.8200
2021-12-31,8.2300
2022-01-31,7.8600
2022-02-28,7.5400
2022-03-31,7.6900
2022-04-29,7.6000
2022-05-31,7.4700
2022-06-30,7.0900
2022-07-29,7.8300
2022-08-31,7.5400
2022-09-30,7.0900
2022-10-28,7.5900
2022-11-30,7.9000
2022-12-30,7.3600
2023-01-31,7.8100
2023-02-28,7.8800
2023-03-31,7.9900
2023-04-28,7.9600
2023-05-31,8.2100
2023-06-30,8.6400
2023-07-31,8.7800
2023-08-31,8.7600
2023-09-29,8.5000
2023-10-30,8.1600
2023-11-30,8.8300
2023-12-29,9.1600
2024-01-31,9.4500
2024-02-29,9.8300
2024-03-29,9.9400
2024-04-30,9.6200
2024-05-31,9.8100
2024-06-28,10.2000
2024-07-31,9.9200
2024-08-30,9.7800
2024-09-30,9.9000
2024-10-30,10.1000
2024-11-29,10.7200
2024-12-31,10.5100
2025-01-31,10.6500
2025-02-28,10.5700
2025-03-31,9.7300
2025-04-30,9.2800
2025-05-30,9.9700
2025-06-30,9.9700
2025-07-31,10.0900
2025-08-29,10.1500
2025-09-30,10.5200
2025-10-30,10.8900
2025-11-28,10.7400
2025-12-31,10.7000
2026-01-30,10.8900
2026-02-27,10.8900
2026-03-31,10.2700
2026-04-30,11.4200
2026-05-29,12.2100
2026-06-15,12.7500
