date,nav
2006-03-31,4.1700
2006-04-28,4.2900
2006-05-31,3.9600
2006-06-30,4.0100
2006-07-31,4.1200
2006-08-31,4.2100
2006-09-29,4.2300
2006-10-30,4.4500
2006-11-30,4.5800
2006-12-29,4.7200
2007-01-31,4.9000
2007-02-28,4.7700
2007-03-30,4.9700
2007-04-30,5.0700
2007-05-31,5.2500
2007-06-29,5.3400
2007-07-31,5.4500
2007-08-31,5.2800
2007-09-28,5.4400
2007-10-30,5.7200
2007-11-30,5.4400
2007-12-31,5.6000
2008-01-31,4.8500
2008-02-29,4.9500
2008-03-31,4.7700
2008-04-30,5.0000
2008-05-30,5.1800
2008-06-30,4.6300
2008-07-31,4.4600
2008-08-29,4.4800
2008-09-30,3.8100
2008-10-30,2.9400
2008-11-28,2.6800
2008-12-31,2.5400
2009-01-30,2.3900
2009-02-27,2.1200
2009-03-31,2.2600
2009-04-30,2.7200
2009-05-29,3.0200
2009-06-30,3.0200
2009-07-31,3.2500
2009-08-31,3.5000
2009-09-30,3.6600
2009-10-30,3.5900
2009-11-30,3.4900
2009-12-31,3.6200
2010-01-29,3.7000
2010-02-26,3.5300
2010-03-31,3.8200
2010-04-30,3.8000
2010-05-31,3.5000
2010-06-30,3.4300
2010-07-30,3.6700
2010-08-31,3.6400
2010-09-30,3.7200
2010-10-29,3.8700
2010-11-30,3.6800
2010-12-31,3.8700
2011-01-31,3.9900
2011-02-28,4.0100
2011-03-31,3.9800
2011-04-29,3.9600
2011-05-31,3.8100
2011-06-30,3.7300
2011-07-29,3.6400
2011-08-31,3.2000
2011-09-30,2.9300
2011-10-28,3.1200
2011-11-30,2.9300
2011-12-30,2.8300
2012-01-31,3.1100
2012-02-29,3.2100
2012-03-30,3.1300
2012-04-30,3.0500
2012-05-31,2.7400
2012-06-29,2.9900
2012-07-31,3.0700
2012-08-31,3.1800
2012-09-28,3.2300
2012-10-30,3.2800
2012-11-30,3.2700
2012-12-31,3.3900
2013-01-31,3.5400
2013-02-28,3.4600
2013-03-29,3.4400
2013-04-30,3.5100
2013-05-31,3.5000
2013-06-28,3.3600
2013-07-31,3.4400
2013-08-30,3.3900
2013-09-30,3.6000
2013-10-30,3.7800
2013-11-29,3.7700
2013-12-31,3.6300
2014-01-31,3.5500
2014-02-28,3.6300
2014-03-31,3.6200
2014-04-30,3.5900
2014-05-30,3.8000
2014-06-30,3.8100
2014-07-31,3.6700
2014-08-29,3.6700
2014-09-30,3.6900
2014-10-30,3.5500
2014-11-28,3.5800
2014-12-31,3.2000
2015-01-30,3.3100
2015-02-27,3.6200
2015-03-31,3.6600
2015-04-30,3.8600
2015-05-29,3.7700
2015-06-30,3.5900
2015-07-31,3.6100
2015-08-31,3.3300
2015-09-30,3.2000
2015-10-30,3.4200
2015-11-30,3.4300
2015-12-31,3.2200
2016-01-29,3.1100
2016-02-29,3.1500
2016-03-31,3.3700
2016-04-29,3.4300
2016-05-31,3.4200
2016-06-30,3.2900
2016-07-29,3.4300
2016-08-31,3.4300
2016-09-30,3.4300
2016-10-28,3.5500
2016-11-30,3.5500
2016-12-30,3.8100
2017-01-31,3.7900
2017-02-28,3.8400
2017-03-31,3.9600
2017-04-28,4.0500
2017-05-31,4.1100
2017-06-30,4.0600
2017-07-31,4.1500
2017-08-31,4.2400
2017-09-29,4.3100
2017-10-30,4.3500
2017-11-30,4.2500
2017-12-29,4.4100
2018-01-31,4.5900
2018-02-28,4.5000
2018-03-30,4.3600
2018-04-30,4.3900
2018-05-31,4.2000
2018-06-29,4.1500
2018-07-31,4.2400
2018-08-31,4.0400
2018-09-28,4.1200
2018-10-30,3.9200
2018-11-30,4.0700
2018-12-31,3.8800
2019-01-31,4.2000
2019-02-28,4.2100
2019-03-29,4.2300
2019-04-30,4.3500
2019-05-31,4.2600
2019-06-28,4.4700
2019-07-31,4.5400
2019-08-30,4.3400
2019-09-30,4.5000
2019-10-30,4.6100
2019-11-29,4.7200
2019-12-31,4.8600
2020-01-31,4.8100
2020-02-28,4.2200
2020-03-31,3.3600
2020-04-30,3.6600
2020-05-29,3.8100
2020-06-30,3.9100
2020-07-31,3.7600
2020-08-31,3.7700
2020-09-30,3.6400
2020-10-30,3.3800
2020-11-30,3.9700
2020-12-31,4.1900
2021-01-29,4.1700
2021-02-26,4.2700
2021-03-31,4.4400
2021-04-30,4.4600
2021-05-31,4.6900
2021-06-30,4.7300
2021-07-30,4.7500
2021-08-31,4.9400
2021-09-30,5.0900
2021-10-29,5.2100
2021-11-30,4.7400
2021-12-31,4.8600
2022-01-31,4.6400
2022-02-28,2.6100
2022-03-31,1.6800
2022-04-29,1.6200
2022-05-31,1.5700
2022-06-30,1.4700
2022-07-29,1.4900
2022-08-31,1.4800
