date,nav
1993-01-05,2.5600
1993-02-01,2.6700
1993-03-01,2.6800
1993-04-01,2.8200
1993-05-04,2.9600
1993-06-01,3.0900
1993-07-01,3.2800
1993-08-02,3.3700
1993-09-01,3.3900
1993-10-01,3.5000
1993-11-02,3.6300
1993-12-01,3.7300
1994-01-04,3.9400
1994-02-01,4.0600
1994-03-01,4.1600
1994-04-01,4.2700
1994-05-03,4.3200
1994-06-01,4.3500
1994-07-01,4.3500
1994-08-01,4.3800
1994-09-01,4.4900
1994-10-03,4.6900
1994-11-02,4.7300
1994-12-01,4.9200
1995-01-03,5.0800
1995-02-01,5.2400
1995-03-01,5.2800
1995-04-03,5.3600
1995-05-03,5.4300
1995-06-01,5.4900
1995-07-03,5.5400
1995-08-01,5.5300
1995-09-01,5.5500
1995-10-02,5.7100
1995-11-02,5.8600
1995-12-01,6.0000
1996-01-03,6.1200
1996-02-01,6.2900
1996-03-01,6.3900
1996-04-01,6.3900
1996-05-03,6.4400
1996-06-03,6.5000
1996-07-01,6.5100
1996-08-01,6.3800
1996-09-02,6.4100
1996-10-01,6.4400
1996-11-04,6.7200
1996-12-02,6.6700
1997-01-03,6.6800
1997-02-03,6.8000
1997-03-03,6.7300
1997-04-01,6.7300
1997-05-05,6.7000
1997-06-02,6.7100
1997-07-01,7.0400
1997-08-01,7.4000
1997-09-01,7.5300
1997-10-01,7.5000
1997-11-03,7.4900
1997-12-01,7.4400
1998-01-05,7.5900
1998-02-02,7.5500
1998-03-02,7.6200
1998-04-01,7.7500
1998-05-04,7.9800
1998-06-01,8.0200
1998-07-01,8.1700
1998-08-03,8.5500
1998-09-01,8.3500
1998-10-01,8.4800
1998-11-02,8.4600
1998-12-01,8.5300
1999-01-04,8.6800
1999-02-01,9.2900
1999-03-01,9.4300
1999-04-01,9.3100
1999-05-03,9.3200
1999-06-01,9.3200
1999-07-01,9.2900
1999-08-02,9.4500
1999-09-01,9.7200
1999-10-01,9.6900
1999-11-02,9.6300
1999-12-01,9.7800
2000-01-03,9.9400
2000-02-01,10.0500
2000-03-01,9.8800
2000-04-03,9.8200
2000-05-03,9.8700
2000-06-01,9.8000
2000-07-03,10.0100
2000-08-01,10.1800
2000-09-01,10.3400
2000-10-02,10.3200
2000-11-02,10.3500
2000-12-01,10.7300
2001-01-03,10.9500
2001-02-01,10.9900
2001-03-01,10.8600
2001-04-02,10.7100
2001-05-03,10.7900
2001-06-01,11.0400
2001-07-02,11.2400
2001-08-01,11.5500
2001-09-03,11.8900
2001-10-01,11.8600
2001-11-02,12.0500
2001-12-03,12.5000
