date,nav
1993-01-05,2.5600
1993-01-06,2.5700
1993-01-07,2.5700
1993-01-08,2.5800
1993-01-11,2.6200
1993-01-12,2.6200
1993-01-13,2.6400
1993-01-14,2.6600
1993-01-15,2.6600
1993-01-18,2.6600
1993-01-20,2.6700
1993-01-22,2.6700
1993-01-25,2.6700
1993-01-26,2.6700
1993-01-28,2.6700
1993-01-29,2.6700
1993-02-01,2.6700
1993-02-02,2.6700
1993-02-03,2.6700
1993-02-04,2.6700
1993-02-05,2.6600
1993-02-09,2.6700
1993-02-10,2.6700
1993-02-12,2.6700
1993-02-15,2.6700
1993-02-17,2.6800
1993-02-18,2.6800
1993-02-22,2.6700
1993-02-23,2.6700
1993-02-24,2.6600
1993-02-25,2.6600
1993-02-26,2.6800
1993-03-01,2.6800
1993-03-02,2.6900
1993-03-03,2.7000
1993-03-04,2.7100
1993-03-05,2.7100
1993-03-08,2.7100
1993-03-09,2.7200
1993-03-10,2.7300
1993-03-11,2.7300
1993-03-12,2.7300
1993-03-15,2.7400
1993-03-16,2.7500
1993-03-18,2.7700
1993-03-22,2.7800
1993-03-23,2.7900
1993-03-24,2.7900
1993-03-25,2.7900
1993-03-29,2.8100
1993-03-30,2.8200
1993-03-31,2.8200
1993-04-01,2.8200
1993-04-02,2.8200
1993-04-05,2.8300
1993-04-06,2.8400
1993-04-07,2.8400
1993-04-08,2.8400
1993-04-09,2.8500
1993-04-13,2.8600
1993-04-14,2.8700
1993-04-15,2.8700
1993-04-16,2.8800
1993-04-19,2.8800
1993-04-21,2.9000
1993-04-22,2.9100
1993-04-23,2.9200
1993-04-26,2.9200
1993-04-28,2.9400
1993-04-29,2.9400
1993-04-30,2.9400
1993-05-04,2.9600
1993-05-05,2.9700
1993-05-06,2.9800
1993-05-07,2.9900
1993-05-10,3.0000
1993-05-11,3.0100
1993-05-12,3.0200
1993-05-13,3.0300
1993-05-14,3.0300
1993-05-18,3.0400
1993-05-19,3.0500
1993-05-20,3.0600
1993-05-21,3.0700
1993-05-24,3.0700
1993-05-25,3.0900
1993-05-26,3.0800
1993-05-27,3.0800
1993-05-28,3.0800
1993-05-31,3.0800
1993-06-01,3.0900
1993-06-02,3.0900
1993-06-03,3.1000
1993-06-04,3.0900
1993-06-07,3.1000
1993-06-08,3.1100
1993-06-09,3.1100
1993-06-10,3.1100
1993-06-11,3.2000
1993-06-14,3.2000
1993-06-15,3.2000
1993-06-16,3.2100
1993-06-17,3.2100
1993-06-18,3.2400
1993-06-21,3.2500
1993-06-22,3.2700
1993-06-23,3.2700
1993-06-24,3.2800
1993-06-28,3.2800
1993-06-29,3.2800
1993-06-30,3.2800
1993-07-01,3.2800
1993-07-02,3.2900
1993-07-05,3.3000
1993-07-06,3.2900
1993-07-07,3.2900
1993-07-08,3.3000
1993-07-09,3.3000
1993-07-12,3.3100
1993-07-13,3.3100
1993-07-14,3.3300
1993-07-15,3.3300
1993-07-16,3.3300
1993-07-19,3.3300
1993-07-20,3.3300
1993-07-21,3.3400
1993-07-22,3.3500
1993-07-23,3.3500
1993-07-26,3.3600
1993-07-27,3.3600
1993-07-28,3.3700
1993-07-29,3.3700
1993-07-30,3.3800
1993-08-02,3.3700
1993-08-03,3.3700
1993-08-04,3.3700
1993-08-05,3.3700
1993-08-06,3.3700
1993-08-09,3.3700
1993-08-10,3.3800
1993-08-11,3.3800
1993-08-12,3.3800
1993-08-13,3.3900
1993-08-16,3.3900
1993-08-17,3.3900
1993-08-18,3.4000
1993-08-19,3.4000
1993-08-20,3.4000
1993-08-23,3.4000
1993-08-24,3.4000
1993-08-25,3.3900
1993-08-26,3.3800
1993-08-27,3.3800
1993-08-30,3.3800
1993-08-31,3.3900
1993-09-01,3.3900
1993-09-02,3.4000
1993-09-03,3.3900
1993-09-06,3.4000
1993-09-07,3.4100
1993-09-08,3.4100
1993-09-09,3.4000
1993-09-10,3.4000
1993-09-13,3.4100
1993-09-14,3.4100
1993-09-15,3.4200
1993-09-16,3.4200
1993-09-17,3.4300
1993-09-20,3.4300
1993-09-21,3.4300
1993-09-22,3.4400
1993-09-23,3.4400
1993-09-24,3.4400
1993-09-27,3.4500
1993-09-28,3.4600
1993-09-29,3.4800
1993-09-30,3.4800
1993-10-01,3.5000
1993-10-04,3.5100
1993-10-05,3.5200
1993-10-06,3.5400
1993-10-07,3.5400
1993-10-08,3.5500
1993-10-11,3.5500
1993-10-12,3.5600
1993-10-13,3.5600
1993-10-14,3.5600
1993-10-15,3.5700
1993-10-18,3.5800
1993-10-19,3.5900
1993-10-20,3.5900
1993-10-21,3.6100
1993-10-22,3.6100
1993-10-25,3.6200
1993-10-26,3.6100
1993-10-27,3.6300
1993-10-28,3.6300
1993-10-29,3.6400
1993-11-02,3.6300
1993-11-03,3.6300
1993-11-04,3.6200
1993-11-05,3.6300
1993-11-08,3.6400
1993-11-09,3.6500
1993-11-10,3.6600
1993-11-11,3.6600
1993-11-12,3.6700
1993-11-15,3.6800
1993-11-16,3.6900
1993-11-17,3.7000
1993-11-18,3.7100
1993-11-19,3.7000
1993-11-22,3.7100
1993-11-23,3.7100
1993-11-24,3.7200
1993-11-25,3.7200
1993-11-26,3.7200
1993-11-29,3.7300
1993-11-30,3.7300
1993-12-01,3.7300
1993-12-02,3.7300
1993-12-03,3.7400
1993-12-06,3.7400
1993-12-07,3.7500
1993-12-08,3.7600
1993-12-09,3.7600
1993-12-10,3.7600
1993-12-14,3.7700
1993-12-15,3.7800
1993-12-16,3.7800
1993-12-17,3.7800
1993-12-20,3.7800
1993-12-21,3.7900
1993-12-22,3.8000
1993-12-23,3.8000
1993-12-24,3.8000
1993-12-27,3.8400
1993-12-28,3.8300
1993-12-29,3.8700
1993-12-30,3.8900
1993-12-31,3.9200
1994-01-04,3.9400
1994-01-05,3.9400
1994-01-06,3.9500
1994-01-07,3.9600
1994-01-10,3.9700
1994-01-11,3.9900
1994-01-12,4.0000
1994-01-13,4.0000
1994-01-14,4.0000
1994-01-17,4.0100
1994-01-18,4.0100
1994-01-19,4.0100
1994-01-20,4.0200
1994-01-21,4.0200
1994-01-24,4.0300
1994-01-25,4.0300
1994-01-26,4.0400
1994-01-27,4.0400
1994-01-28,4.0500
1994-01-31,4.0500
1994-02-01,4.0600
1994-02-02,4.0700
1994-02-03,4.0700
1994-02-04,4.0800
1994-02-07,4.0900
1994-02-09,4.1000
1994-02-10,4.1000
1994-02-11,4.1100
1994-02-14,4.1100
1994-02-15,4.1200
1994-02-16,4.1200
1994-02-17,4.1300
1994-02-18,4.1300
1994-02-21,4.1300
1994-02-22,4.1400
1994-02-23,4.1400
1994-02-24,4.1500
1994-02-25,4.1500
1994-02-28,4.1600
1994-03-01,4.1600
1994-03-02,4.1600
1994-03-03,4.1700
1994-03-04,4.1800
1994-03-07,4.1800
1994-03-08,4.1900
1994-03-09,4.1900
1994-03-10,4.2000
1994-03-11,4.2100
1994-03-14,4.2100
1994-03-15,4.2100
1994-03-16,4.2200
1994-03-17,4.2300
1994-03-18,4.2300
1994-03-21,4.2300
1994-03-22,4.2400
1994-03-23,4.2400
1994-03-24,4.2400
1994-03-25,4.2500
1994-03-28,4.2500
1994-03-29,4.2600
1994-03-30,4.2600
