date,nav
2006-01-31,4.1300
2006-02-28,4.1700
2006-03-31,4.2000
2006-04-28,4.1100
2006-05-31,3.9500
2006-06-30,4.0100
2006-07-31,4.0800
2006-08-31,4.1600
2006-09-29,4.2500
2006-10-30,4.3000
2006-11-30,4.1900
2006-12-29,4.3200
2007-01-31,4.4400
2007-02-28,4.3400
2007-03-30,4.3600
2007-04-30,4.4700
2007-05-31,4.5100
2007-06-29,4.3800
2007-07-31,4.1900
2007-08-31,4.2400
2007-09-28,4.2200
2007-10-30,4.1000
2007-11-30,4.0500
2007-12-31,3.9400
2008-01-31,3.6800
2008-02-29,3.5800
2008-03-31,3.3000
2008-04-30,3.4400
2008-05-30,3.5000
2008-06-30,3.3100
2008-07-31,3.3900
2008-08-29,3.6300
2008-09-30,3.4200
2008-10-30,3.1500
2008-11-28,3.0700
2008-12-31,3.0200
2009-01-30,3.1300
2009-02-27,2.7400
2009-03-31,2.7700
2009-04-30,2.9300
2009-05-29,3.0300
2009-06-30,3.0600
2009-07-31,3.3100
2009-08-31,3.3600
2009-09-30,3.4000
2009-10-30,3.2900
2009-11-30,3.4500
2009-12-31,3.6500
2010-01-29,3.7300
2010-02-26,3.7900
2010-03-31,3.9000
2010-04-30,3.8000
2010-05-31,3.7600
2010-06-30,3.7400
2010-07-30,3.6300
2010-08-31,3.6400
2010-09-30,3.6500
2010-10-29,3.7100
2010-11-30,3.7800
2010-12-31,3.9000
2011-01-31,3.8700
2011-02-28,3.9500
2011-03-31,3.8300
2011-04-29,3.8900
2011-05-31,4.0300
2011-06-30,3.9500
2011-07-29,3.8900
2011-08-31,3.5900
2011-09-30,3.6200
2011-10-28,3.7700
2011-11-30,3.7800
2011-12-30,3.9800
2012-01-31,4.0900
2012-02-29,4.1200
2012-03-30,4.2200
2012-04-30,4.2700
2012-05-31,4.2400
2012-06-29,4.4200
2012-07-31,4.6300
2012-08-31,4.6000
2012-09-28,4.6900
2012-10-30,4.6600
2012-11-30,4.6700
2012-12-31,4.6200
2013-01-31,4.8000
2013-02-28,5.0000
2013-03-29,5.3800
2013-04-30,5.4400
2013-05-31,5.4500
2013-06-28,5.3200
