date,nav
2008-09-30,13.1500
2008-10-30,11.1000
2008-11-28,10.3300
2008-12-31,9.7300
2009-01-30,9.5300
2009-02-27,8.7900
2009-03-31,9.2300
2009-04-30,10.4800
2009-05-29,11.0500
2009-06-30,11.0100
2009-07-31,11.8500
2009-08-31,12.1600
2009-09-30,12.5600
2009-10-30,12.2100
2009-11-30,12.5400
2009-12-31,13.3100
2010-01-29,13.0600
2010-02-26,13.3800
2010-03-31,14.2600
2010-04-30,14.2500
2010-05-31,13.8500
2010-06-30,13.5200
2010-07-30,13.7400
2010-08-31,13.5100
2010-09-30,13.7000
2010-10-29,13.9800
2010-11-30,14.2400
2010-12-31,14.8900
2011-01-31,14.7600
2011-02-28,14.9900
2011-03-31,14.4900
2011-04-29,14.4500
2011-05-31,14.4700
2011-06-30,14.1600
2011-07-29,13.9800
2011-08-31,12.7200
2011-09-30,12.1800
2011-10-28,13.2700
2011-11-30,13.1000
2011-12-30,13.3800
2012-01-31,14.0000
2012-02-29,14.2600
2012-03-30,14.3500
2012-04-30,14.2700
2012-05-31,13.6500
2012-06-29,14.1200
2012-07-31,14.7800
2012-08-31,14.7300
2012-09-28,14.8300
2012-10-30,14.7800
2012-11-30,14.8200
2012-12-31,14.9000
2013-01-31,15.1200
2013-02-28,15.4100
2013-03-29,15.8300
2013-04-30,15.8300
2013-05-31,15.7300
2013-06-28,15.1500
2013-07-31,15.4700
2013-08-30,15.0700
2013-09-30,15.6200
2013-10-30,16.0900
2013-11-29,16.2600
2013-12-31,16.2000
2014-01-31,15.6900
2014-02-28,16.0600
2014-03-31,16.3700
2014-04-30,16.3500
2014-05-30,17.0600
2014-06-30,17.2500
2014-07-31,17.3200
2014-08-29,17.8600
2014-09-30,17.8900
2014-10-30,17.7600
2014-11-28,18.3200
2014-12-31,18.1600
2015-01-30,19.1700
2015-02-27,20.4000
2015-03-31,20.7100
2015-04-30,20.7100
2015-05-29,21.0400
2015-06-30,20.0100
2015-07-31,20.3500
2015-08-31,18.5200
2015-09-30,17.7000
2015-10-30,19.3000
2015-11-30,19.8600
2015-12-31,18.7900
2016-01-29,17.6200
2016-02-29,17.4700
2016-03-31,18.1200
2016-04-29,18.4000
2016-05-31,18.6600
2016-06-30,18.5600
2016-07-29,19.3200
2016-08-31,19.4100
2016-09-30,19.4200
2016-10-28,19.5700
2016-11-30,19.8700
2016-12-30,20.5700
2017-01-31,20.6100
2017-02-28,21.2800
2017-03-31,21.5200
2017-04-28,21.4600
2017-05-31,21.2600
2017-06-30,21.0700
2017-07-31,21.0600
2017-08-31,20.7900
2017-09-29,21.1600
2017-10-30,21.7200
2017-11-30,21.4800
2017-12-29,21.7000
2018-01-31,22.1700
2018-02-28,21.5900
2018-03-30,21.0100
2018-04-30,21.6400
2018-05-31,21.6500
2018-06-29,21.3200
2018-07-31,22.0200
2018-08-31,21.7300
2018-09-28,21.9600
2018-10-30,20.6700
2018-11-30,21.2300
2018-12-31,19.7000
2019-01-31,21.1000
2019-02-28,21.5700
2019-03-29,21.9100
2019-04-30,22.7100
2019-05-31,21.3800
2019-06-28,22.3000
2019-07-31,22.7700
2019-08-30,22.3500
2019-09-30,23.2900
2019-10-30,23.6300
2019-11-29,24.1500
2019-12-31,24.4000
2020-01-31,23.8500
2020-02-28,21.7600
2020-03-31,18.0700
2020-04-30,19.7400
2020-05-29,20.1400
2020-06-30,20.7300
2020-07-31,20.3000
2020-08-31,20.8600
2020-09-30,20.5400
2020-10-30,20.0500
2020-11-30,23.0100
2020-12-31,23.7600
2021-01-29,23.7900
2021-02-26,24.8200
2021-03-31,26.8300
2021-04-30,26.7800
2021-05-31,27.3800
2021-06-30,27.9400
2021-07-30,27.8900
2021-08-31,28.4900
2021-09-30,28.3600
2021-10-29,29.2000
2021-11-30,28.7900
2021-12-31,30.4300
2022-01-31,30.4200
2022-02-28,29.0200
2022-03-31,29.6200
2022-04-29,28.9900
2022-05-31,28.7900
2022-06-30,26.9100
2022-07-29,28.8000
2022-08-31,28.3500
2022-09-30,26.6900
2022-10-28,28.0000
2022-11-30,29.7700
2022-12-30,28.1100
2023-01-31,29.4900
2023-02-28,29.2900
2023-03-31,29.2100
2023-04-28,29.2900
2023-05-31,29.2300
2023-06-30,30.1100
2023-07-31,30.8000
2023-08-31,30.4000
2023-09-29,29.9000
2023-10-30,28.7000
2023-11-30,30.1400
2023-12-29,31.3500
2024-01-31,31.9700
2024-02-29,33.3100
2024-03-29,34.2400
2024-04-30,33.5700
2024-05-31,34.7200
2024-06-28,36.3400
2024-07-31,35.9200
2024-08-30,36.0700
2024-09-30,36.2500
2024-10-30,37.3700
2024-11-29,38.6900
2024-12-31,38.6000
2025-01-31,39.9800
2025-02-28,40.2100
2025-03-31,37.8100
2025-04-30,36.3800
2025-05-30,38.6300
2025-06-30,38.9600
2025-07-31,40.2800
2025-08-29,40.0000
2025-09-30,41.8100
2025-10-30,43.7800
2025-11-28,43.1400
2025-12-31,43.0600
2026-01-30,44.5000
2026-02-27,45.3200
2026-03-31,42.8600
2026-04-30,46.6000
2026-05-29,49.6400
2026-06-30,49.8000
