date,nav
2008-09-25,13.7900
2008-09-26,13.6600
2008-09-29,12.7800
2008-09-30,13.1500
2008-10-01,13.2600
2008-10-02,13.0000
2008-10-03,12.9300
2008-10-06,12.3200
2008-10-07,11.8600
2008-10-08,11.2900
2008-10-09,10.9400
2008-10-10,10.4000
2008-10-13,11.5300
2008-10-14,11.8000
2008-10-15,10.9100
2008-10-16,10.8500
2008-10-17,11.0200
2008-10-20,11.4400
2008-10-21,11.3300
2008-10-22,10.8300
2008-10-23,10.7900
2008-10-24,10.4100
2008-10-27,9.9800
2008-10-28,10.6200
2008-10-29,10.8100
2008-10-30,11.1000
2008-11-03,11.4300
2008-11-04,11.9700
2008-11-05,11.5000
2008-11-06,10.8900
2008-11-07,11.1400
2008-11-10,11.0400
2008-11-11,10.6700
2008-11-12,10.2600
2008-11-13,10.6400
2008-11-14,10.3000
2008-11-17,10.0500
2008-11-18,9.9900
2008-11-19,9.5000
2008-11-20,8.9300
2008-11-21,9.2400
2008-11-24,9.8000
2008-11-25,9.8800
2008-11-26,9.9800
2008-11-27,10.1500
2008-11-28,10.3300
2008-12-01,9.6600
2008-12-02,9.8500
2008-12-03,9.9500
2008-12-04,9.7900
2008-12-05,9.7900
2008-12-08,10.2300
2008-12-09,10.1900
2008-12-10,10.3300
2008-12-11,10.0000
2008-12-12,9.8400
2008-12-15,9.6900
2008-12-16,9.9100
2008-12-17,9.7300
2008-12-18,9.3600
2008-12-19,9.6600
2008-12-22,9.4400
2008-12-23,9.3800
2008-12-24,9.3800
2008-12-29,9.3200
2008-12-30,9.5700
2008-12-31,9.7300
2009-01-05,10.2700
2009-01-06,10.5900
2009-01-07,10.2500
2009-01-08,10.2100
2009-01-09,10.0500
2009-01-12,9.9300
2009-01-13,9.9100
2009-01-14,9.6000
2009-01-15,9.5900
2009-01-16,9.6300
2009-01-19,9.6100
2009-01-20,9.2700
2009-01-21,9.5100
2009-01-22,9.3000
2009-01-23,9.3800
2009-01-26,9.4500
2009-01-27,9.4500
2009-01-28,9.7500
2009-01-29,9.5300
2009-01-30,9.5300
2009-02-02,9.4500
2009-02-03,9.5300
2009-02-04,9.6400
2009-02-05,9.7300
2009-02-06,10.0100
2009-02-09,9.9800
2009-02-10,9.6500
2009-02-11,9.6900
2009-02-12,9.6900
2009-02-13,9.7200
2009-02-16,9.6400
2009-02-17,9.2500
2009-02-18,9.2300
2009-02-19,9.1700
2009-02-20,8.9900
2009-02-23,8.7200
2009-02-24,8.8800
2009-02-25,8.8100
2009-02-26,8.8800
2009-02-27,8.7900
2009-03-02,8.4000
2009-03-03,8.3400
2009-03-04,8.6100
2009-03-05,8.3200
2009-03-06,8.2500
2009-03-09,8.1800
2009-03-10,8.5600
2009-03-11,8.6500
2009-03-12,8.8400
2009-03-13,8.8800
2009-03-16,8.9300
2009-03-17,9.0700
2009-03-18,9.1100
2009-03-19,8.9300
2009-03-20,8.8700
2009-03-23,9.3900
2009-03-24,9.3000
2009-03-25,9.3600
2009-03-26,9.4600
2009-03-27,9.4100
2009-03-30,9.0800
2009-03-31,9.2300
2009-04-01,9.4500
2009-04-02,9.7900
2009-04-03,9.8400
2009-04-06,9.6900
2009-04-07,9.6200
2009-04-08,9.7300
2009-04-09,10.0400
2009-04-10,10.0400
2009-04-14,10.0300
2009-04-15,10.1400
2009-04-16,10.2900
2009-04-17,10.4000
2009-04-20,10.0300
2009-04-21,10.1600
2009-04-22,10.1500
2009-04-23,10.2100
2009-04-24,10.3100
2009-04-28,10.2700
2009-04-29,10.4000
2009-04-30,10.4800
2009-05-04,10.9200
2009-05-05,10.8300
2009-05-06,11.0100
2009-05-07,10.9300
2009-05-08,11.1700
2009-05-11,10.9500
2009-05-12,10.9100
2009-05-13,10.6300
2009-05-14,10.7000
2009-05-15,10.7300
2009-05-18,11.0600
2009-05-19,11.1100
2009-05-20,11.1100
2009-05-21,10.8700
2009-05-22,10.8300
2009-05-25,10.8200
2009-05-26,11.0200
2009-05-27,10.9800
2009-05-28,11.0600
2009-05-29,11.0500
2009-06-01,11.2800
2009-06-02,11.3200
2009-06-03,11.1000
2009-06-04,11.1900
2009-06-05,11.2000
2009-06-08,11.2900
2009-06-09,11.2800
2009-06-10,11.3100
2009-06-11,11.5000
2009-06-12,11.4500
2009-06-15,11.2300
2009-06-16,11.1400
2009-06-17,11.0300
2009-06-18,11.0400
2009-06-19,11.1100
2009-06-22,10.8200
2009-06-23,10.7400
2009-06-24,10.8700
2009-06-26,11.0000
2009-06-29,11.1100
2009-06-30,11.0100
2009-07-01,11.1200
2009-07-02,10.9000
2009-07-03,10.8900
2009-07-06,10.8500
2009-07-07,10.6700
2009-07-08,10.6100
2009-07-09,10.6500
2009-07-10,10.6200
2009-07-13,10.7300
2009-07-14,10.8400
2009-07-15,11.1000
2009-07-16,11.1500
2009-07-17,11.2000
2009-07-20,11.3100
2009-07-21,11.3600
2009-07-22,11.3900
2009-07-23,11.6100
2009-07-24,11.6300
2009-07-27,11.6600
2009-07-28,11.6000
2009-07-29,11.6200
2009-07-30,11.8500
2009-07-31,11.8500
2009-08-03,11.9800
2009-08-04,11.9600
2009-08-05,11.9100
2009-08-06,11.9100
2009-08-07,12.0000
2009-08-10,12.0400
2009-08-11,11.8800
2009-08-12,11.9800
2009-08-13,12.0700
2009-08-14,11.9900
2009-08-17,11.7700
2009-08-18,11.8900
2009-08-19,11.9200
2009-08-20,11.9900
2009-08-21,12.1500
2009-08-24,12.2300
2009-08-25,12.2500
2009-08-26,12.2400
2009-08-27,12.2300
2009-08-28,12.2300
2009-08-31,12.1600
2009-09-01,11.9400
2009-09-02,11.9100
2009-09-03,11.9500
2009-09-04,12.1300
2009-09-07,12.1800
2009-09-08,12.2200
2009-09-09,12.2500
2009-09-10,12.3200
2009-09-11,12.3500
2009-09-14,12.3600
2009-09-15,12.4100
2009-09-16,12.5900
2009-09-17,12.5700
2009-09-18,12.5600
2009-09-21,12.4900
2009-09-22,12.5500
