date,nav
2004-05-12,4.1700
2004-06-01,4.1000
2004-07-01,4.1200
2004-08-02,4.1100
2004-09-01,4.1600
2004-10-01,4.1900
2004-11-02,4.1900
2004-12-01,4.2200
2005-01-03,4.2500
2005-02-01,4.3100
2005-03-01,4.3300
2005-04-01,4.3200
2005-05-03,4.3000
2005-06-01,4.4100
2005-07-01,4.4700
2005-08-01,4.5600
2005-09-01,4.5500
2005-10-03,4.6000
2005-11-02,4.5300
2005-12-01,4.6300
2006-01-03,4.7100
2006-02-01,4.7200
2006-03-01,4.7500
2006-04-03,4.7400
2006-05-03,4.7500
2006-06-01,4.6700
2006-07-03,4.6600
2006-08-01,4.6800
2006-09-01,4.7800
2006-10-02,4.8300
2006-11-02,4.9300
2006-12-01,4.9200
2007-01-03,5.0200
2007-02-01,5.1200
2007-03-01,5.0700
2007-04-02,5.1300
2007-05-03,5.2600
2007-06-01,5.3700
2007-07-02,5.4100
2007-08-01,5.3600
2007-09-03,5.4100
2007-10-01,5.4400
2007-11-02,5.4000
2007-12-03,5.3000
2008-01-03,5.2700
2008-02-01,5.1000
2008-03-03,5.0100
2008-04-01,4.9300
2008-05-05,5.0100
2008-06-02,4.9500
2008-07-01,4.6800
2008-08-01,4.7500
2008-09-01,4.8200
2008-10-01,4.6000
2008-11-03,4.2900
2008-12-01,3.9900
2009-01-05,4.1000
2009-02-02,3.9800
2009-03-02,3.7900
2009-04-01,3.9600
2009-05-04,4.2400
2009-06-01,4.3300
2009-07-01,4.3500
2009-08-03,4.5200
2009-09-01,4.5500
2009-10-01,4.6400
2009-11-02,4.6300
2009-12-01,4.7000
2010-01-04,4.7900
2010-02-01,4.7600
2010-03-01,4.8000
2010-04-01,4.9500
2010-05-03,4.9200
2010-06-01,4.8000
2010-07-01,4.7200
2010-08-02,4.8200
2010-09-01,4.8100
2010-10-01,4.7700
2010-11-02,4.8200
2010-12-01,4.8800
2011-01-03,4.9900
2011-02-01,4.9600
2011-03-01,4.9600
2011-04-01,4.9200
2011-05-03,4.8800
2011-06-01,4.8800
2011-07-01,4.8700
2011-08-01,4.8400
2011-09-01,4.6500
2011-10-03,4.5100
2011-11-02,4.7000
2011-12-01,4.7100
2012-01-03,4.8600
2012-02-01,4.9800
2012-03-01,5.0400
2012-04-02,5.0600
2012-05-03,5.0400
2012-06-01,4.9200
2012-07-02,5.0400
2012-08-01,5.1800
2012-09-03,5.1900
2012-10-01,5.2100
2012-11-02,5.2200
2012-12-03,5.1900
2013-01-02,5.2800
2013-02-01,5.2600
2013-03-01,5.3600
2013-04-02,5.4300
2013-05-03,5.4900
2013-06-03,5.4300
2013-07-01,5.3100
2013-08-01,5.4000
2013-09-02,5.3200
2013-10-01,5.4100
2013-11-04,5.5500
2013-12-02,5.5400
2014-01-02,5.5100
2014-02-03,5.4200
2014-03-03,5.5100
2014-04-01,5.6100
2014-05-05,5.6100
2014-06-02,5.7600
2014-07-01,5.8200
2014-08-01,5.8100
2014-09-01,5.9600
2014-10-01,5.9200
2014-11-03,5.9800
2014-12-01,6.0200
2015-01-02,6.0700
2015-02-02,6.2700
2015-03-02,6.4700
