date,nav
2006-01-16,4.1700
2006-02-01,4.3100
2006-03-01,4.3200
2006-04-03,4.3900
2006-05-03,4.6000
2006-06-01,4.2400
2006-07-03,4.4000
2006-08-01,4.4300
2006-09-01,4.4100
2006-10-02,4.3000
2006-11-02,4.4800
2006-12-01,4.5600
2007-01-03,4.6200
2007-02-01,4.7800
2007-03-01,4.6300
2007-04-02,4.8600
2007-05-03,5.0000
2007-06-01,5.3700
2007-07-02,5.4800
2007-08-01,5.4100
2007-09-03,5.4000
2007-10-01,5.8800
2007-11-02,6.0000
2007-12-03,5.7300
2008-01-03,5.7900
2008-02-01,5.3500
2008-03-03,5.3600
2008-04-01,5.0900
2008-05-05,5.6300
2008-06-02,5.7200
2008-07-01,5.3600
2008-08-01,4.8800
2008-09-01,4.9600
2008-10-01,4.1200
2008-11-03,3.6700
2008-12-01,3.1500
2009-01-05,3.5600
2009-02-02,3.3100
2009-03-02,2.9300
2009-04-01,3.3000
2009-05-04,3.8800
2009-06-01,4.1100
2009-07-01,3.8900
2009-08-03,4.1400
2009-09-01,4.0000
2009-10-01,4.1900
2009-11-02,4.2400
2009-12-01,4.4800
2010-01-04,4.8000
2010-02-01,4.5700
2010-03-01,4.6900
2010-04-01,5.0300
2010-05-03,4.9400
2010-06-01,4.8000
2010-07-01,4.5800
2010-08-02,4.8000
2010-09-01,4.7800
2010-10-01,4.7400
2010-11-02,4.8000
2010-12-01,5.0400
2011-01-03,5.3400
2011-02-01,5.3500
2011-03-01,5.3500
2011-04-01,5.2800
2011-05-03,5.0100
2011-06-01,4.8900
2011-07-01,4.9600
2011-08-01,4.8600
2011-09-01,4.4500
2011-10-03,4.0400
2011-11-02,4.4800
2011-12-01,4.5900
2012-01-03,4.7500
2012-02-01,4.9400
2012-03-01,5.0000
2012-04-02,4.7900
2012-05-03,4.6200
2012-06-01,4.2700
2012-07-02,4.4400
2012-08-01,4.5200
2012-09-03,4.5300
2012-10-01,4.5900
2012-11-02,4.5400
2012-12-03,4.3700
2013-01-02,4.6200
2013-02-01,4.5000
2013-03-01,4.3600
2013-04-02,4.2700
2013-05-03,4.1000
2013-06-03,4.0700
2013-07-01,3.7100
2013-08-01,3.8700
2013-09-02,3.9700
2013-10-01,4.0000
2013-11-04,4.1600
2013-12-02,3.9800
2014-01-02,3.9600
2014-02-03,3.7100
2014-03-03,3.7900
2014-04-01,3.8800
2014-05-05,3.9500
2014-06-02,4.0600
