date,nav
2013-11-25,5.0000
2013-12-02,4.9500
2014-01-02,4.8800
2014-02-03,4.8800
2014-03-03,5.0100
2014-04-01,5.0600
2014-05-05,5.2000
2014-06-02,5.4400
2014-07-01,5.4700
2014-08-01,5.5500
2014-09-01,5.8500
2014-10-01,5.6800
2014-11-03,6.1800
2014-12-01,6.2700
2015-01-02,6.5400
2015-02-02,7.2100
2015-03-02,7.3100
2015-04-01,7.5000
2015-05-04,7.1300
2015-06-01,7.2000
2015-07-01,6.8500
2015-08-03,7.0700
2015-09-01,6.3300
2015-10-01,6.5900
2015-11-02,7.0900
2015-12-01,7.3000
2016-01-04,6.9200
2016-02-01,6.6600
2016-03-01,6.7500
2016-04-01,6.8300
2016-05-03,6.7900
2016-06-01,6.9600
2016-07-01,7.1800
2016-08-01,7.5300
2016-09-01,7.3200
2016-10-03,7.1200
2016-11-02,6.7100
2016-12-01,6.8700
2017-01-03,7.2800
2017-02-01,7.0000
2017-03-01,7.4800
2017-04-03,7.3900
2017-05-03,7.2900
2017-06-01,7.1800
2017-07-03,7.1300
2017-08-01,7.0000
2017-09-01,6.9500
2017-10-02,6.9600
2017-11-02,7.1000
2017-12-01,7.1200
2018-01-03,7.1300
2018-02-01,6.8300
2018-03-01,6.5800
2018-04-03,6.6200
2018-05-03,6.8100
2018-06-01,7.0500
2018-07-02,7.1300
2018-08-01,7.1600
2018-09-03,7.1800
2018-10-01,6.9500
2018-11-02,6.8500
2018-12-03,7.2100
2019-01-03,6.6400
2019-02-01,7.3500
2019-03-01,7.4400
2019-04-01,7.8300
2019-05-03,7.8200
2019-06-03,7.7000
2019-07-01,7.7600
2019-08-01,8.0200
2019-09-02,8.1500
2019-10-01,8.2500
2019-11-04,8.2000
2019-12-02,8.1600
2020-01-03,8.2500
2020-02-03,8.3100
2020-03-02,7.9200
2020-04-01,5.9200
2020-05-04,6.4100
2020-06-01,6.7100
2020-07-01,6.7600
2020-08-03,6.5100
2020-09-01,6.5800
2020-10-01,6.6300
2020-11-02,6.5000
2020-12-01,6.9600
2021-01-04,6.7300
2021-02-01,7.0300
2021-03-01,7.1600
2021-04-01,7.5800
2021-05-03,7.6400
2021-06-01,7.6600
2021-07-01,7.9200
2021-08-02,8.0800
2021-09-01,8.4200
2021-10-01,8.0400
2021-11-02,8.4600
2021-12-01,8.2800
2022-01-03,8.8500
2022-02-01,8.3200
2022-03-01,8.0100
2022-04-01,8.5000
2022-05-03,8.2800
2022-06-01,7.8300
2022-07-01,7.5700
2022-08-01,8.0700
2022-09-01,7.7700
2022-10-03,7.0800
2022-11-02,6.7900
2022-12-01,7.1600
2023-01-03,6.8300
2023-02-01,7.2900
2023-03-01,6.8500
2023-04-03,6.5600
2023-05-03,6.3600
2023-06-01,6.3700
2023-07-03,6.5900
2023-08-01,6.6600
2023-09-01,6.5200
2023-10-02,6.1600
2023-11-02,6.1400
2023-12-01,6.6000
2024-01-03,6.8600
2024-02-01,6.8200
2024-03-01,6.9800
2024-04-02,6.8200
2024-05-03,6.5100
2024-06-03,6.5300
2024-07-01,6.5800
2024-08-01,7.1100
2024-09-02,7.2000
2024-10-01,7.4000
2024-11-04,7.2500
2024-12-02,7.6600
2025-01-03,7.2800
2025-02-03,7.3700
2025-03-03,7.4800
2025-04-01,7.0600
2025-05-05,6.8300
2025-06-02,6.8100
2025-07-01,6.6500
2025-08-01,6.8100
2025-09-01,6.8200
2025-10-01,6.8300
2025-11-03,6.7600
2025-12-01,6.7100
2026-01-05,6.6900
2026-02-02,6.7600
2026-03-02,7.4400
2026-04-01,6.8800
2026-05-04,7.2300
2026-06-01,7.0400
