date,nav
2013-11-29,5.0000
2013-12-31,4.9600
2014-01-31,4.9900
2014-02-28,5.0000
2014-03-31,4.9800
2014-04-30,5.0100
2014-05-30,5.0900
2014-06-30,5.1100
2014-07-31,5.1200
2014-08-29,5.2100
2014-09-30,5.2900
2014-10-30,5.3200
2014-11-28,5.3300
2014-12-31,5.3700
2015-01-30,5.6300
2015-02-27,5.7400
2015-03-31,5.8700
2015-04-30,5.7400
2015-05-29,5.8200
2015-06-30,5.6900
2015-07-31,5.7100
2015-08-31,5.6300
2015-09-30,5.5200
2015-10-30,5.7500
2015-11-30,5.8200
2015-12-31,5.6100
2016-01-29,5.5300
2016-02-29,5.5900
2016-03-31,5.5900
2016-04-29,5.6900
2016-05-31,5.7700
2016-06-30,5.8200
2016-07-29,5.9000
2016-08-31,5.9600
2016-09-30,5.9700
2016-10-28,6.0400
2016-11-30,6.1100
2016-12-30,6.2200
2017-01-31,6.1700
2017-02-28,6.2900
2017-03-31,6.2600
2017-04-28,6.2100
2017-05-31,6.1200
2017-06-30,6.0700
2017-07-31,5.9800
2017-08-31,5.9300
2017-09-29,5.9500
2017-10-30,6.0400
2017-11-30,5.9200
2017-12-29,5.8900
2018-01-31,5.7800
2018-02-28,5.8000
2018-03-30,5.7300
2018-04-30,5.8400
2018-05-31,5.9200
2018-06-29,5.9400
2018-07-31,5.9600
2018-08-31,5.9700
2018-09-28,5.9900
2018-10-30,6.0000
2018-11-30,5.9400
2018-12-31,5.8400
2019-01-31,6.0000
2019-02-28,6.1000
2019-03-29,6.1800
2019-04-30,6.2400
2019-05-31,6.1700
2019-06-28,6.1800
2019-07-31,6.2600
2019-08-30,6.3100
2019-09-30,6.3500
2019-10-30,6.2500
2019-11-29,6.3300
2019-12-31,6.3200
2020-01-31,6.3700
2020-02-28,6.2100
2020-03-31,5.3100
2020-04-30,5.5000
2020-05-29,5.6300
2020-06-30,5.7700
2020-07-31,5.6700
2020-08-31,5.7000
2020-09-30,5.7300
2020-10-30,5.7300
2020-11-30,5.8100
2020-12-31,5.8000
2021-01-29,5.8500
2021-02-26,5.8600
2021-03-31,5.9800
2021-04-30,5.9000
2021-05-31,5.8600
2021-06-30,5.9900
2021-07-30,5.9800
2021-08-31,6.0200
2021-09-30,6.0800
2021-10-29,6.0400
2021-11-30,6.1000
2021-12-31,6.1500
2022-01-31,6.1200
2022-02-28,6.0500
2022-03-31,6.0400
2022-04-29,6.1000
2022-05-31,6.0600
2022-06-30,5.9200
2022-07-29,6.2000
2022-08-31,6.1700
2022-09-30,6.0700
2022-10-28,6.0900
2022-11-30,6.0600
2022-12-30,5.9400
2023-01-31,6.0200
2023-02-28,6.0400
2023-03-31,5.9900
2023-04-28,5.9800
2023-05-31,6.0500
2023-06-30,6.0200
2023-07-31,6.0100
2023-08-31,6.0500
2023-09-29,6.1000
2023-10-30,6.0400
2023-11-30,6.1500
2023-12-29,6.2700
2024-01-31,6.3500
2024-02-29,6.3700
2024-03-29,6.3900
2024-04-30,6.3800
2024-05-31,6.4000
2024-06-28,6.4800
2024-07-31,6.5200
2024-08-30,6.5100
2024-09-30,6.5100
2024-10-30,6.6100
2024-11-29,6.7300
2024-12-31,6.7900
2025-01-31,6.8700
2025-02-28,6.9200
2025-03-31,6.6600
2025-04-30,6.4500
2025-05-30,6.5200
2025-06-30,6.4500
2025-07-31,6.5800
2025-08-29,6.5700
2025-09-30,6.5600
2025-10-30,6.6500
2025-11-28,6.6400
2025-12-31,6.5800
2026-01-30,6.5700
2026-02-27,6.6300
2026-03-31,6.6200
2026-04-30,6.6500
2026-05-29,6.7200
2026-06-26,6.8200
