date,nav
2004-05-12,4.1700
2004-06-01,4.1600
2004-07-01,4.1500
2004-08-02,4.1900
2004-09-01,4.2400
2004-10-01,4.2600
2004-11-02,4.3000
2004-12-01,4.3300
2005-01-03,4.3600
2005-02-01,4.4000
2005-03-01,4.3800
2005-04-01,4.3800
2005-05-03,4.4200
2005-06-01,4.4600
2005-07-01,4.4900
2005-08-01,4.4800
2005-09-01,4.5100
2005-10-03,4.5000
2005-11-02,4.4700
2005-12-01,4.4600
2006-01-03,4.4800
2006-02-01,4.4500
2006-03-01,4.4400
2006-04-03,4.4200
2006-05-03,4.4000
2006-06-01,4.4100
2006-07-03,4.3900
2006-08-01,4.4400
2006-09-01,4.4800
2006-10-02,4.4900
2006-11-02,4.5100
2006-12-01,4.5300
2007-01-03,4.4900
2007-02-01,4.4700
2007-03-01,4.5100
2007-04-02,4.5000
2007-05-03,4.4800
2007-06-01,4.4500
2007-07-02,4.4500
2007-08-01,4.4600
2007-09-03,4.4900
2007-10-01,4.5000
2007-11-02,4.5300
2007-12-03,4.5400
2008-01-03,4.5300
2008-02-01,4.5700
2008-03-03,4.6000
2008-04-01,4.5500
2008-05-05,4.5700
2008-06-02,4.5400
2008-07-01,4.5000
2008-08-01,4.5500
2008-09-01,4.6000
2008-10-01,4.5400
2008-11-03,4.4600
2008-12-01,4.5200
2009-01-05,4.5800
2009-02-02,4.5900
2009-03-02,4.6200
2009-04-01,4.5900
2009-05-04,4.6500
2009-06-01,4.6700
2009-07-01,4.7600
2009-08-03,4.8500
2009-09-01,4.9100
2009-10-01,4.9600
2009-11-02,4.9700
2009-12-01,5.0200
2010-01-04,4.9900
2010-02-01,5.0500
2010-03-01,5.0900
2010-04-01,5.1100
2010-05-03,5.1400
2010-06-01,5.1400
2010-07-01,5.1500
2010-08-02,5.1700
2010-09-01,5.2600
2010-10-01,5.2400
2010-11-02,5.2300
2010-12-01,5.1800
2011-01-03,5.1800
2011-02-01,5.1200
2011-03-01,5.1500
2011-04-01,5.1200
2011-05-03,5.1500
2011-06-01,5.2100
2011-07-01,5.1800
2011-08-01,5.2700
2011-09-01,5.2600
2011-10-03,5.2600
2011-11-02,5.3100
2011-12-01,5.2400
2012-01-03,5.3200
2012-02-01,5.3800
2012-03-01,5.4300
2012-04-02,5.4600
2012-05-03,5.5000
2012-06-01,5.5600
2012-07-02,5.5300
2012-08-01,5.6100
2012-09-03,5.6600
2012-10-01,5.6600
2012-11-02,5.7000
2012-12-03,5.7200
2013-01-02,5.7400
2013-02-01,5.7000
2013-03-01,5.7700
2013-04-02,5.7900
2013-05-03,5.8500
2013-06-03,5.8100
2013-07-01,5.7500
2013-08-01,5.7800
2013-09-02,5.7500
2013-10-01,5.7800
2013-11-04,5.8400
2013-12-02,5.8400
2014-01-02,5.8100
2014-02-03,5.9000
2014-03-03,5.9300
2014-04-01,5.9400
2014-05-05,5.9800
2014-06-02,6.0100
2014-07-01,6.0500
2014-08-01,6.0800
2014-09-01,6.1200
2014-10-01,6.1400
2014-11-03,6.1500
2014-12-01,6.1600
2015-01-02,6.1900
2015-02-02,6.2300
2015-03-02,6.2500
2015-04-01,6.2600
2015-05-04,6.2300
2015-06-01,6.2000
2015-07-01,6.1300
2015-08-03,6.1800
2015-09-01,6.1400
2015-10-01,6.1300
2015-11-02,6.1600
2015-12-01,6.1900
2016-01-04,6.1400
2016-02-01,6.1600
2016-03-01,6.2000
2016-04-01,6.2400
2016-05-03,6.2600
2016-06-01,6.2600
2016-07-01,6.3000
2016-08-01,6.3600
2016-09-01,6.3700
2016-10-03,6.3700
2016-11-02,6.3300
2016-12-01,6.2800
2017-01-03,6.3100
2017-02-01,6.2900
2017-03-01,6.3200
2017-04-03,6.3100
2017-05-03,6.3100
2017-06-01,6.3200
2017-07-03,6.2900
2017-08-01,6.3100
2017-09-01,6.3200
2017-10-02,6.3100
2017-11-02,6.3300
2017-12-01,6.3200
2018-01-03,6.3000
2018-02-01,6.2800
2018-03-01,6.2700
2018-04-03,6.2700
2018-05-03,6.2700
2018-06-01,6.2600
2018-07-02,6.2600
2018-08-01,6.2600
2018-09-03,6.2500
2018-10-01,6.2400
2018-11-02,6.2400
2018-12-03,6.2200
2019-01-03,6.2300
2019-02-01,6.2500
2019-03-01,6.2700
2019-04-01,6.3100
2019-05-03,6.3300
2019-06-03,6.3100
2019-07-01,6.3500
2019-08-01,6.3800
2019-09-02,6.4000
2019-10-01,6.3700
