date,nav
2005-09-30,4.2400
2005-10-28,4.0500
2005-11-30,4.3000
2005-12-30,4.4500
2006-01-31,4.6000
2006-02-28,4.6700
2006-03-31,4.7100
2006-04-28,4.7600
2006-05-31,4.5500
2006-06-30,4.5600
2006-07-31,4.6300
2006-08-31,4.7300
2006-09-29,4.8400
2006-10-30,5.0300
2006-11-30,5.0200
2006-12-29,5.2200
2007-01-31,5.3000
2007-02-28,5.1800
2007-03-30,5.3000
2007-04-30,5.5600
2007-05-31,5.7100
2007-06-29,5.7100
2007-07-31,5.4700
2007-08-31,5.4100
2007-09-28,5.4600
2007-10-30,5.5000
2007-11-30,5.3800
2007-12-31,5.3500
2008-01-31,4.7600
2008-02-29,4.6800
2008-03-31,4.4900
2008-04-30,4.7900
2008-05-30,4.8200
2008-06-30,4.3500
2008-07-31,4.3800
2008-08-29,4.4100
2008-09-30,3.9900
2008-10-30,3.3400
2008-11-28,3.1900
2008-12-31,3.0600
2009-01-30,2.8900
2009-02-27,2.6500
2009-03-31,2.7400
2009-04-30,3.1500
2009-05-29,3.3200
2009-06-30,3.2900
2009-07-31,3.5700
2009-08-31,3.7400
2009-09-30,3.8600
2009-10-30,3.7800
2009-11-30,3.8400
2009-12-31,4.0300
2010-01-29,3.8900
2010-02-26,3.8700
2010-03-31,4.1100
2010-04-30,4.0200
2010-05-31,3.8100
2010-06-30,3.7700
2010-07-30,3.9100
2010-08-31,3.8500
2010-09-30,3.9700
2010-10-29,4.0900
2010-11-30,4.0000
2010-12-31,4.2200
2011-01-31,4.3200
2011-02-28,4.3800
2011-03-31,4.2600
2011-04-29,4.3800
2011-05-31,4.3700
2011-06-30,4.2800
2011-07-29,4.1800
2011-08-31,3.7400
2011-09-30,3.5000
2011-10-28,3.8900
2011-11-30,3.7200
2011-12-30,3.7800
2012-01-31,3.9200
2012-02-29,4.1000
2012-03-30,4.0900
2012-04-30,3.9900
2012-05-31,3.7200
2012-06-29,3.9000
2012-07-31,4.0500
2012-08-31,4.1100
2012-09-28,4.1800
2012-10-30,4.2200
2012-11-30,4.3000
2012-12-31,4.3300
2013-01-31,4.4400
2013-02-28,4.4600
2013-03-29,4.4900
2013-04-30,4.5500
2013-05-31,4.6300
2013-06-28,4.3900
2013-07-31,4.5900
2013-08-30,4.5400
2013-09-30,4.7400
2013-10-30,4.9700
2013-11-29,4.9900
2013-12-31,5.0000
2014-01-31,4.8800
2014-02-28,5.0700
2014-03-31,5.0400
2014-04-30,5.0700
2014-05-30,5.2300
2014-06-30,5.2100
2014-07-31,5.0400
2014-08-29,5.1200
2014-09-30,5.1800
2014-10-30,5.0000
2014-11-28,5.2100
2014-12-31,5.0800
2015-01-30,5.3800
2015-02-27,5.7800
2015-03-31,5.8900
2015-04-30,5.9500
2015-05-29,6.0200
2015-06-30,5.7600
2015-07-31,6.0300
2015-08-31,5.5100
2015-09-30,5.2600
2015-10-30,5.6600
2015-11-30,5.7800
2015-12-31,5.5100
2016-01-29,5.1600
2016-02-29,5.0000
2016-03-31,5.1300
2016-04-29,5.2200
2016-05-31,5.3100
2016-06-30,5.0600
2016-07-29,5.2200
2016-08-31,5.2600
2016-09-30,5.2800
2016-10-28,5.3100
2016-11-30,5.3200
2016-12-30,5.6600
2017-01-31,5.6100
2017-02-28,5.7300
2017-03-31,5.9200
2017-04-28,6.0500
2017-05-31,6.0700
2017-06-30,6.0000
2017-07-31,6.0100
2017-08-31,5.9300
2017-09-29,6.1000
2017-10-30,6.2300
2017-11-30,6.1100
2017-12-29,6.0600
2018-01-31,6.2300
2018-02-28,5.9900
2018-03-30,5.8200
2018-04-30,6.0900
2018-05-31,5.9400
2018-06-29,5.8400
2018-07-31,6.0400
2018-08-31,5.8100
2018-09-28,5.8400
2018-10-30,5.4600
2018-11-30,5.5400
2018-12-31,5.1700
2019-01-31,5.4400
2019-02-28,5.6700
2019-03-29,5.7200
2019-04-30,5.9300
2019-05-31,5.5600
2019-06-28,5.8500
2019-07-31,5.8300
2019-08-30,5.7400
2019-09-30,5.9500
2019-10-30,6.0800
2019-11-29,6.2300
2019-12-31,6.3600
2020-01-31,6.2000
2020-02-28,5.6200
2020-03-31,4.5800
2020-04-30,4.9100
2020-05-29,5.0700
2020-06-30,5.2500
2020-07-31,5.1200
2020-08-31,5.3300
2020-09-30,5.2000
2020-10-30,4.9600
2020-11-30,5.8200
2020-12-31,5.9700
2021-01-29,5.9200
2021-02-26,6.1200
2021-03-31,6.6100
2021-04-30,6.6700
2021-05-31,6.9100
2021-06-30,7.0000
2021-07-30,7.1000
2021-08-31,7.2400
2021-09-30,7.1300
2021-10-29,7.4200
2021-11-30,7.1800
2021-12-31,7.5900
2022-01-31,7.5200
2022-02-28,7.0900
2022-03-31,7.2200
2022-04-29,7.1500
2022-05-31,7.1400
2022-06-30,6.6000
2022-07-29,7.0100
2022-08-31,6.7100
2022-09-30,6.2900
2022-10-28,6.6600
2022-11-30,7.1100
2022-12-30,6.8700
2023-01-31,7.2600
2023-02-28,7.4000
2023-03-31,7.3500
2023-04-28,7.5300
2023-05-31,7.3200
2023-06-30,7.5400
2023-07-31,7.6500
2023-08-31,7.5500
2023-09-29,7.4500
2023-10-30,7.2500
2023-11-30,7.6400
2023-12-29,7.8400
2024-01-31,8.0000
2024-02-29,8.1100
2024-03-29,8.4100
2024-04-30,8.3600
2024-05-31,8.6400
2024-06-28,8.5600
2024-07-31,8.5800
2024-08-30,8.7300
2024-09-30,8.5900
2024-10-30,8.4700
2024-11-29,8.4100
2024-12-31,8.3600
2025-01-31,8.9400
2025-02-28,9.3200
2025-03-31,9.0800
2025-04-30,8.9200
2025-05-30,9.3500
2025-06-30,9.2300
2025-07-31,9.2300
2025-08-29,9.3700
2025-09-30,9.5400
2025-10-30,9.7800
2025-11-28,9.8300
2025-12-31,10.0900
2026-01-30,10.4000
2026-02-27,10.7700
2026-03-31,9.9500
2026-04-30,10.5600
2026-05-29,11.0000
2026-06-16,11.2000
