date,nav
2004-05-12,4.1700
2004-06-01,4.0100
2004-07-01,4.0600
2004-08-02,4.2200
2004-09-01,4.3300
2004-10-01,4.3600
2004-11-02,4.3400
2004-12-01,4.3200
2005-01-03,4.3700
2005-02-01,4.5000
2005-03-01,4.3800
2005-04-01,4.2500
2005-05-03,4.1400
2005-06-01,4.0500
2005-07-01,3.9000
2005-08-01,4.0000
2005-09-01,4.0000
2005-10-03,3.9400
2005-11-02,3.9600
2005-12-01,4.0500
2006-01-03,4.0500
2006-02-01,4.0100
2006-03-01,3.9400
2006-04-03,3.8900
2006-05-03,4.1900
2006-06-01,4.3000
2006-07-03,4.3000
2006-08-01,4.4800
2006-09-01,4.6700
2006-10-02,4.7400
2006-11-02,4.9200
2006-12-01,5.1000
2007-01-03,5.3900
2007-02-01,5.9800
2007-03-01,5.8600
2007-04-02,6.3500
2007-05-03,7.0600
2007-06-01,7.6000
2007-07-02,8.4900
2007-08-01,8.9900
2007-09-03,9.5300
2007-10-01,9.4900
2007-11-02,9.2500
2007-12-03,8.8300
2008-01-03,9.1300
2008-02-01,8.3100
2008-03-03,8.1100
2008-04-01,7.4100
2008-05-05,7.4400
2008-06-02,7.3600
2008-07-01,6.7900
2008-08-01,6.8300
2008-09-01,6.6100
2008-10-01,5.7000
2008-11-03,4.6200
2008-12-01,3.8900
2009-01-05,3.4200
2009-02-02,3.5400
2009-03-02,3.2900
2009-04-01,3.1400
2009-05-04,3.2500
2009-06-01,3.6100
2009-07-01,3.6500
2009-08-03,3.6200
2009-09-01,3.5700
2009-10-01,3.6700
2009-11-02,3.6800
2009-12-01,3.5900
2010-01-04,3.5300
2010-02-01,3.4900
2010-03-01,3.3600
2010-04-01,3.3500
2010-05-03,3.2800
2010-06-01,3.0400
2010-07-01,3.0200
2010-08-02,2.8600
2010-09-01,2.8200
2010-10-01,2.8100
2010-11-02,2.8900
2010-12-01,2.8500
2011-01-03,2.8800
2011-02-01,2.8100
2011-03-01,2.7100
2011-04-01,2.7200
2011-05-03,2.5600
2011-06-01,2.5200
2011-07-01,2.4700
2011-08-01,2.4400
2011-09-01,2.2900
2011-10-03,2.0000
2011-11-02,2.0400
2011-12-01,1.9600
2012-01-03,1.9000
2012-02-01,1.9800
2012-03-01,1.9300
2012-04-02,2.0500
2012-05-03,2.0700
2012-06-01,1.9100
2012-07-02,1.8600
2012-08-01,1.8000
2012-09-03,1.7600
2012-10-01,1.9900
2012-11-02,2.0300
2012-12-03,1.9700
2013-01-02,2.0900
2013-02-01,2.1600
2013-03-01,2.1200
2013-04-02,2.0500
2013-05-03,2.0900
2013-06-03,2.0700
2013-07-01,2.1700
2013-08-01,2.3100
2013-09-02,2.2900
2013-10-01,2.2300
2013-11-04,2.3500
2013-12-02,2.3900
2014-01-02,2.4300
2014-02-03,2.6800
2014-03-03,2.8200
2014-04-01,2.9400
2014-05-05,3.1400
2014-06-02,3.4100
2014-07-01,3.7000
2014-08-01,3.8200
2014-09-01,4.0700
2014-10-01,4.3000
2014-11-03,4.1900
2014-12-01,4.1800
2015-01-02,4.0100
2015-02-02,4.1300
2015-03-02,4.1300
2015-04-01,4.1600
2015-05-04,4.3900
2015-06-01,4.3400
2015-07-01,4.1300
2015-08-03,4.1300
2015-09-01,3.8400
2015-10-01,3.8000
2015-11-02,3.7900
2015-12-01,3.7800
2016-01-04,3.7800
2016-02-01,3.7100
2016-03-01,3.6200
2016-04-01,3.7900
2016-05-03,3.8000
2016-06-01,3.8300
2016-07-01,3.8200
2016-08-01,4.0100
2016-09-01,4.0800
2016-10-03,4.1300
2016-11-02,4.1300
2016-12-01,4.1200
2017-01-03,4.2400
2017-02-01,4.3600
2017-03-01,4.5400
2017-04-03,4.4900
2017-05-03,4.5000
2017-06-01,4.5800
2017-07-03,4.6100
2017-08-01,4.8100
2017-09-01,4.8300
2017-10-02,4.7700
2017-11-02,4.8100
2017-12-01,4.8200
2018-01-03,4.8400
2018-02-01,5.0100
2018-03-01,4.8700
2018-04-03,4.9000
2018-05-03,5.0000
2018-06-01,5.3500
2018-07-02,5.4800
2018-08-01,5.6400
2018-09-03,5.6100
2018-10-01,5.4400
2018-11-02,5.2800
2018-12-03,5.2900
2019-01-03,5.1200
2019-02-01,5.2200
2019-03-01,5.2200
2019-04-01,5.4500
2019-05-03,5.5600
2019-06-03,5.5400
2019-07-01,5.6200
2019-08-01,5.6500
2019-09-02,5.5900
2019-10-01,5.5100
2019-11-04,5.4600
2019-12-02,5.5700
2020-01-03,5.6500
2020-02-03,5.7800
2020-03-02,5.4900
2020-04-01,4.6800
2020-05-04,4.9700
2020-06-01,5.1300
2020-07-01,5.1600
2020-08-03,5.1900
2020-09-01,5.3000
2020-10-01,5.4000
2020-11-02,5.2200
2020-12-01,5.3700
2021-01-04,5.5000
2021-02-01,5.6400
2021-03-01,5.7400
2021-04-01,5.8200
2021-05-03,6.1600
2021-06-01,6.3900
2021-07-01,6.4500
2021-08-02,6.7100
2021-09-01,6.8800
2021-10-01,6.7300
2021-11-02,6.7500
2021-12-01,6.8400
2022-01-03,6.9900
2022-02-01,7.2300
2022-03-01,6.7000
2022-04-01,6.9400
2022-05-03,6.9100
2022-06-01,6.9000
2022-07-01,6.8400
2022-08-01,6.9500
2022-09-01,6.9200
2022-10-03,6.2600
2022-11-02,6.3900
2022-12-01,6.6400
2023-01-03,6.6200
2023-02-01,6.9000
2023-03-01,7.0000
2023-04-03,7.0400
2023-05-03,7.1900
2023-06-01,7.0900
2023-07-03,7.1700
2023-08-01,7.2400
2023-09-01,7.0100
2023-10-02,7.1100
2023-11-02,7.1000
2023-12-01,7.2100
2024-01-03,7.4000
2024-02-01,7.7800
2024-03-01,7.8700
2024-04-02,8.0700
2024-05-03,8.0400
2024-06-03,8.1300
2024-07-01,8.3900
2024-08-01,8.7800
2024-09-02,8.7300
2024-10-01,8.9600
2024-11-04,9.0100
2024-12-02,9.0600
2025-01-03,9.1500
2025-02-03,9.8200
2025-03-03,10.1000
2025-04-01,9.9800
2025-05-05,10.0000
2025-06-02,10.4500
2025-07-01,11.0100
2025-08-01,11.4600
2025-09-01,11.5800
2025-10-01,11.9100
2025-11-03,11.7900
2025-12-01,11.7200
2026-01-05,12.0400
2026-02-02,12.8800
2026-03-02,13.2100
2026-04-01,12.8300
2026-05-04,13.5100
2026-06-01,13.6500
