date,nav
2004-05-12,4.1700
2004-06-01,4.0800
2004-07-01,4.1600
2004-08-02,4.0300
2004-09-01,4.0400
2004-10-01,4.0900
2004-11-02,4.0600
2004-12-01,4.0900
2005-01-03,4.1300
2005-02-01,4.1800
2005-03-01,4.2700
2005-04-01,4.3100
2005-05-03,4.2300
2005-06-01,4.4800
2005-07-01,4.6200
2005-08-01,4.8100
2005-09-01,4.7700
2005-10-03,4.9100
2005-11-02,4.7700
2005-12-01,5.0100
2006-01-03,5.1300
2006-02-01,5.2700
2006-03-01,5.3800
2006-04-03,5.3700
2006-05-03,5.2900
2006-06-01,5.0600
2006-07-03,5.0200
2006-08-01,4.9800
2006-09-01,5.1400
2006-10-02,5.2300
2006-11-02,5.3900
2006-12-01,5.3100
2007-01-03,5.5200
2007-02-01,5.6900
2007-03-01,5.5100
2007-04-02,5.5900
2007-05-03,5.8100
2007-06-01,6.0000
2007-07-02,5.9200
2007-08-01,5.6100
2007-09-03,5.5700
2007-10-01,5.6800
2007-11-02,5.5200
2007-12-03,5.3600
2008-01-03,5.1900
2008-02-01,4.9100
2008-03-03,4.6800
2008-04-01,4.6800
2008-05-05,4.8600
2008-06-02,4.7600
2008-07-01,4.2800
2008-08-01,4.2900
2008-09-01,4.4600
2008-10-01,4.2000
2008-11-03,3.7300
2008-12-01,3.2100
2009-01-05,3.4400
2009-02-02,3.1600
2009-03-02,2.7800
2009-04-01,3.1200
2009-05-04,3.5900
2009-06-01,3.6600
2009-07-01,3.6000
2009-08-03,3.8600
2009-09-01,3.8600
2009-10-01,3.9500
2009-11-02,3.9200
2009-12-01,4.0500
2010-01-04,4.2600
2010-02-01,4.1500
2010-03-01,4.2700
2010-04-01,4.5400
2010-05-03,4.4900
2010-06-01,4.3100
2010-07-01,4.1500
2010-08-02,4.3900
2010-09-01,4.2800
2010-10-01,4.2400
2010-11-02,4.3400
2010-12-01,4.4900
2011-01-03,4.6900
2011-02-01,4.7500
2011-03-01,4.7400
2011-04-01,4.6400
2011-05-03,4.5900
2011-06-01,4.5300
2011-07-01,4.5400
2011-08-01,4.4000
2011-09-01,4.0700
2011-10-03,3.8500
2011-11-02,4.1300
2011-12-01,4.1900
2012-01-03,4.4200
2012-02-01,4.5300
2012-03-01,4.6200
2012-04-02,4.6700
2012-05-03,4.5800
2012-06-01,4.3400
2012-07-02,4.5900
2012-08-01,4.7700
2012-09-03,4.7800
2012-10-01,4.8100
2012-11-02,4.7900
2012-12-03,4.7500
2013-01-02,4.8700
2013-02-01,4.8800
2013-03-01,5.0400
2013-04-02,5.1900
2013-05-03,5.2600
2013-06-03,5.2400
2013-07-01,5.1200
2013-08-01,5.3200
2013-09-02,5.1900
2013-10-01,5.3200
2013-11-04,5.5300
2013-12-02,5.5600
2014-01-02,5.5700
2014-02-03,5.3800
2014-03-03,5.5400
2014-04-01,5.6700
2014-05-05,5.6000
2014-06-02,5.8100
2014-07-01,5.8800
2014-08-01,5.7900
2014-09-01,6.0400
2014-10-01,6.0000
2014-11-03,6.1100
2014-12-01,6.2200
2015-01-02,6.2800
2015-02-02,6.6600
2015-03-02,7.0900
2015-04-01,7.2200
2015-05-04,7.2000
2015-06-01,7.3300
2015-07-01,7.0700
2015-08-03,7.2400
2015-09-01,6.4100
2015-10-01,6.3600
2015-11-02,6.9600
2015-12-01,7.2000
2016-01-04,6.6800
2016-02-01,6.3600
2016-03-01,6.4000
2016-04-01,6.3700
2016-05-03,6.3700
2016-06-01,6.6500
2016-07-01,6.5000
2016-08-01,6.7300
2016-09-01,6.8100
2016-10-03,6.7900
2016-11-02,6.6200
2016-12-01,7.0000
2017-01-03,7.4400
2017-02-01,7.3000
2017-03-01,7.6600
2017-04-03,7.5900
2017-05-03,7.6800
2017-06-01,7.6200
2017-07-03,7.5600
2017-08-01,7.4400
2017-09-01,7.3100
2017-10-02,7.5800
2017-11-02,7.8100
2017-12-01,7.6800
2018-01-03,7.8600
2018-02-01,7.8900
2018-03-01,7.6200
2018-04-03,7.4500
2018-05-03,7.7500
2018-06-01,7.9600
2018-07-02,7.7600
2018-08-01,8.0300
2018-09-03,8.0200
2018-10-01,8.0900
2018-11-02,7.7300
2018-12-03,7.8500
2019-01-03,6.9900
2019-02-01,7.5400
2019-03-01,7.8700
2019-04-01,8.0700
2019-05-03,8.2900
2019-06-03,7.7200
2019-07-01,8.1700
2019-08-01,8.2900
2019-09-02,8.2400
2019-10-01,8.4500
2019-11-04,8.7600
2019-12-02,8.8500
2020-01-03,9.0200
2020-02-03,8.8300
2020-03-02,8.1400
2020-04-01,6.6200
2020-05-04,7.2500
2020-06-01,7.7900
2020-07-01,7.9100
2020-08-03,7.8900
2020-09-01,8.0500
2020-10-01,7.9100
2020-11-02,7.8100
2020-12-01,8.7500
2021-01-04,8.7800
2021-02-01,8.9000
2021-03-01,9.3800
2021-04-01,10.0400
2021-05-03,10.1300
2021-06-01,10.2100
2021-07-01,10.4600
2021-08-02,10.5000
2021-09-01,10.6800
2021-10-01,10.6100
2021-11-02,11.1400
2021-12-01,11.0900
2022-01-03,11.7100
2022-02-01,11.5600
2022-03-01,10.7900
2022-04-01,11.3500
2022-05-03,11.0200
2022-06-01,10.8500
2022-07-01,10.2100
2022-08-01,11.0000
2022-09-01,10.6900
2022-10-03,10.3400
2022-11-02,10.7000
2022-12-01,11.3600
2023-01-03,10.8400
2023-02-01,11.1900
2023-03-01,11.1300
2023-04-03,11.2400
2023-05-03,11.1000
2023-06-01,11.3500
2023-07-03,11.5800
2023-08-01,11.8000
2023-09-01,11.8400
2023-10-02,11.5700
2023-11-02,11.5700
2023-12-01,11.9100
2024-01-03,12.1700
2024-02-01,12.8300
2024-03-01,13.4100
2024-04-02,13.5500
2024-05-03,13.3600
2024-06-03,13.7800
2024-07-01,14.3600
2024-08-01,13.8800
2024-09-02,14.1800
2024-10-01,14.0000
2024-11-04,13.9200
2024-12-02,15.0400
2025-01-03,15.1200
2025-02-03,15.4400
2025-03-03,15.3600
2025-04-01,14.2100
2025-05-05,14.0600
2025-06-02,14.7000
2025-07-01,14.6400
2025-08-01,14.8400
2025-09-01,15.0700
2025-10-01,15.7900
2025-11-03,16.3200
2025-12-01,15.8800
2026-01-05,16.2200
2026-02-02,16.0900
2026-03-02,15.7000
2026-04-01,15.1100
2026-05-04,16.1700
2026-06-01,17.0900
