date,nav
2006-01-31,4.4000
2006-02-28,4.4500
2006-03-31,4.4300
2006-04-28,4.5900
2006-05-31,4.0300
2006-06-30,4.1100
2006-07-31,4.1800
2006-08-31,4.2700
2006-09-29,4.3000
2006-10-30,4.4800
2006-11-30,4.6200
2006-12-29,4.8100
2007-01-31,4.9000
2007-02-28,4.7200
2007-03-30,4.8800
2007-04-30,4.9500
2007-05-31,5.3000
2007-06-29,5.4400
2007-07-31,5.4100
2007-08-31,5.3200
2007-09-28,5.7400
2007-10-30,6.0200
2007-11-30,5.6200
2007-12-31,5.6100
2008-01-31,5.1100
2008-02-29,5.1500
2008-03-31,4.7400
2008-04-30,5.2200
2008-05-30,5.3400
2008-06-30,4.8600
2008-07-31,4.7000
2008-08-29,4.8700
2008-09-30,4.3200
2008-10-30,3.5900
2008-11-28,3.4500
2008-12-31,3.3000
2009-01-30,3.3100
2009-02-27,3.1300
2009-03-31,3.4200
2009-04-30,4.0200
2009-05-29,4.2100
2009-06-30,4.2500
2009-07-31,4.6900
2009-08-31,4.7400
2009-09-30,4.9700
2009-10-30,4.8800
2009-11-30,5.0200
2009-12-31,5.4000
2010-01-29,5.2700
2010-02-26,5.3200
2010-03-31,5.6900
2010-04-30,5.8300
2010-05-31,5.6500
2010-06-30,5.5700
2010-07-30,5.6400
2010-08-31,5.6100
2010-09-30,5.6900
2010-10-29,5.8100
2010-11-30,5.9300
2010-12-31,6.1400
2011-01-31,5.7800
2011-02-28,5.7300
2011-03-31,5.7400
2011-04-29,5.5900
2011-05-31,5.5400
2011-06-30,5.4400
2011-07-29,5.4000
2011-08-31,4.9300
2011-09-30,4.5800
2011-10-28,4.9300
2011-11-30,4.8900
2011-12-30,4.8900
2012-01-31,5.3800
2012-02-29,5.4800
2012-03-30,5.3800
2012-04-30,5.4100
2012-05-31,5.0500
2012-06-29,5.2600
2012-07-31,5.5000
2012-08-31,5.3600
2012-09-28,5.4400
2012-10-30,5.4200
2012-11-30,5.3500
2012-12-31,5.5300
2013-01-31,5.5600
2013-02-28,5.5600
2013-03-29,5.6600
2013-04-30,5.5400
2013-05-31,5.3500
2013-06-28,5.0600
2013-07-31,5.0000
2013-08-30,4.8100
2013-09-30,5.0400
2013-10-30,5.2400
2013-11-29,5.1600
2013-12-31,5.0400
2014-01-31,4.7500
2014-02-28,4.7900
2014-03-31,5.0700
2014-04-30,5.1100
2014-05-30,5.5300
2014-06-30,5.6400
2014-07-31,5.7600
2014-08-29,5.9100
2014-09-30,5.7800
2014-10-30,5.8800
2014-11-28,5.9200
2014-12-31,5.7700
2015-01-30,6.0600
2015-02-27,6.3100
2015-03-31,6.3200
2015-04-30,6.5200
2015-05-29,6.4100
2015-06-30,6.0800
2015-07-31,5.7900
2015-08-31,5.2000
2015-09-30,5.0000
2015-10-30,5.4800
2015-11-30,5.4700
2015-12-31,5.1200
2016-01-29,4.9000
2016-02-29,4.9700
2016-03-31,5.3600
2016-04-29,5.4900
2016-05-31,5.3500
2016-06-30,5.5700
2016-07-29,5.7800
2016-08-31,5.7800
2016-09-30,5.7900
2016-10-28,5.9900
2016-11-30,5.8500
2016-12-30,6.0300
2017-01-31,6.0800
2017-02-28,6.2500
2017-03-31,6.3400
2017-04-28,6.2200
2017-05-31,6.1800
2017-06-30,6.0900
2017-07-31,6.2100
2017-08-31,6.1900
2017-09-29,6.0800
2017-10-30,6.1400
2017-11-30,5.9900
2017-12-29,6.1400
2018-01-31,6.2700
2018-02-28,6.0800
2018-03-30,5.9200
2018-04-30,6.0100
2018-05-31,5.7900
2018-06-29,5.6100
2018-07-31,5.8000
2018-08-31,5.5600
2018-09-28,5.6800
2018-10-30,5.3900
2018-11-30,5.5900
2018-12-31,5.4700
2019-01-31,5.9900
2019-02-28,5.8600
2019-03-29,5.9200
2019-04-30,6.1300
2019-05-31,5.8900
2019-06-28,6.1000
2019-07-31,6.1800
2019-08-30,5.8600
2019-09-30,6.0900
2019-10-30,6.1800
