date,nav
2006-01-31,4.1500
2006-02-28,4.1800
2006-03-31,4.2400
2006-04-28,4.1100
2006-05-31,3.7900
2006-06-30,3.7700
2006-07-31,3.6800
2006-08-31,3.7800
2006-09-29,3.9100
2006-10-30,4.0800
2006-11-30,4.0600
2006-12-29,4.1400
2007-01-31,4.2200
2007-02-28,4.0700
2007-03-30,4.0800
2007-04-30,4.2300
2007-05-31,4.3800
2007-06-29,4.3900
2007-07-31,4.3100
2007-08-31,4.4100
2007-09-28,4.5000
2007-10-30,4.5800
2007-11-30,4.2900
2007-12-31,4.1900
2008-01-31,3.7900
2008-02-29,3.6200
2008-03-31,3.4800
2008-04-30,3.7200
2008-05-30,3.9000
2008-06-30,3.5500
2008-07-31,3.6900
2008-08-29,3.8900
2008-09-30,3.4800
2008-10-30,3.2400
2008-11-28,3.0700
2008-12-31,2.9500
2009-01-30,3.0200
2009-02-27,2.8000
2009-03-31,2.9200
2009-04-30,3.2200
2009-05-29,3.1700
2009-06-30,3.2400
2009-07-31,3.4700
2009-08-31,3.5200
2009-09-30,3.6000
2009-10-30,3.4000
2009-11-30,3.4100
2009-12-31,3.6300
2010-01-29,3.6400
2010-02-26,3.7600
2010-03-31,3.9900
2010-04-30,4.0000
2010-05-31,3.8800
2010-06-30,3.8100
2010-07-30,3.9100
2010-08-31,3.8100
2010-09-30,3.9600
2010-10-29,4.0500
2010-11-30,4.1300
2010-12-31,4.2700
2011-01-31,4.3100
2011-02-28,4.3300
2011-03-31,4.1400
2011-04-29,4.0800
2011-05-31,4.1300
2011-06-30,3.9900
2011-07-29,4.0000
2011-08-31,3.6900
2011-09-30,3.7000
2011-10-28,3.9900
2011-11-30,3.9700
2011-12-30,4.0500
2012-01-31,4.2000
2012-02-29,4.2800
2012-03-30,4.4900
2012-04-30,4.4300
2012-05-31,4.3000
2012-06-29,4.3900
2012-07-31,4.5800
2012-08-31,4.5400
2012-09-28,4.5700
2012-10-30,4.4300
2012-11-30,4.6100
2012-12-31,4.6200
2013-01-31,4.6800
2013-02-28,4.9400
2013-03-29,5.1500
2013-04-30,5.1100
2013-05-31,5.2100
2013-06-28,5.0600
2013-07-31,5.2100
2013-08-30,5.1200
2013-09-30,5.3800
2013-10-30,5.5200
2013-11-29,5.7200
2013-12-31,5.8500
2014-01-31,5.8100
2014-02-28,6.0000
2014-03-31,5.9900
2014-04-30,5.8300
2014-05-30,6.1000
2014-06-30,6.2600
2014-07-31,6.3900
2014-08-29,6.7000
2014-09-30,6.8300
2014-10-30,6.7400
2014-11-28,7.1700
2014-12-31,7.2200
2015-01-30,7.5000
2015-02-27,7.9600
2015-03-31,8.1100
2015-04-30,7.9100
2015-05-29,8.2000
2015-06-30,7.6800
2015-07-31,7.9700
2015-08-31,7.3400
2015-09-30,7.2500
2015-10-30,8.0200
2015-11-30,8.3500
2015-12-31,8.0100
2016-01-29,7.5400
2016-02-29,7.4300
2016-03-31,7.7300
2016-04-29,7.4500
2016-05-31,7.9200
2016-06-30,7.8900
2016-07-29,8.3400
2016-08-31,8.5000
2016-09-30,8.8200
2016-10-28,8.6400
2016-11-30,8.8200
2016-12-30,8.9800
2017-01-31,9.2200
2017-02-28,9.7300
2017-03-31,10.1000
2017-04-28,10.1500
2017-05-31,10.2700
2017-06-30,10.0700
2017-07-31,10.2100
2017-08-31,10.3000
2017-09-29,10.4800
2017-10-30,11.0400
2017-11-30,10.9000
2017-12-29,10.7000
2018-01-31,11.0500
2018-02-28,11.0800
2018-03-30,10.7600
2018-04-30,10.7700
2018-05-31,11.2400
2018-06-29,11.0300
2018-07-31,11.1300
2018-08-31,11.5100
2018-09-28,11.3400
2018-10-30,10.1700
2018-11-30,10.4700
2018-12-31,9.6300
2019-01-31,10.2800
2019-02-28,10.8400
2019-03-29,11.1900
2019-04-30,11.6700
2019-05-31,10.8000
2019-06-28,11.4800
2019-07-31,11.8400
2019-08-30,11.6800
2019-09-30,12.0800
2019-10-30,12.2400
2019-11-29,12.7100
2019-12-31,12.9800
2020-01-31,13.2900
2020-02-28,12.5500
2020-03-31,11.1600
2020-04-30,12.3700
2020-05-29,12.8200
2020-06-30,13.3800
2020-07-31,13.3100
2020-08-31,13.9400
2020-09-30,14.0800
2020-10-30,13.4500
2020-11-30,15.0000
2020-12-31,15.6200
2021-01-29,15.8100
2021-02-26,16.1400
2021-03-31,17.0400
2021-04-30,17.5000
2021-05-31,17.4600
2021-06-30,18.4700
2021-07-30,19.0300
2021-08-31,19.8600
2021-09-30,19.0900
2021-10-29,19.9000
2021-11-30,20.4200
2021-12-31,21.1600
2022-01-31,19.7300
