date,nav
2006-01-16,4.1700
2006-01-17,4.1700
2006-01-18,4.1700
2006-01-19,4.1700
2006-01-20,4.1500
2006-01-23,4.0800
2006-01-24,4.0500
2006-01-25,4.0800
2006-01-26,4.0800
2006-01-27,4.1400
2006-01-30,4.1500
2006-01-31,4.1500
2006-02-01,4.1800
2006-02-02,4.1500
2006-02-03,4.1400
2006-02-06,4.1400
2006-02-07,4.1500
2006-02-09,4.1700
2006-02-10,4.1600
2006-02-13,4.1100
2006-02-14,4.1900
2006-02-15,4.1800
2006-02-16,4.2100
2006-02-17,4.2000
2006-02-20,4.1800
2006-02-22,4.1700
2006-02-23,4.1800
2006-02-24,4.1800
2006-02-28,4.1800
2006-03-01,4.2000
2006-03-02,4.1800
2006-03-03,4.1700
2006-03-06,4.1800
2006-03-07,4.1300
2006-03-08,4.1500
2006-03-09,4.1500
2006-03-10,4.1600
2006-03-13,4.1700
2006-03-14,4.2100
2006-03-15,4.2000
2006-03-16,4.1700
2006-03-17,4.1900
2006-03-20,4.2000
2006-03-21,4.1900
2006-03-22,4.2100
2006-03-23,4.2000
2006-03-24,4.2200
2006-03-27,4.2300
2006-03-28,4.1900
2006-03-29,4.2400
2006-03-30,4.2700
2006-03-31,4.2400
2006-04-03,4.2700
2006-04-04,4.2800
2006-04-05,4.2700
2006-04-06,4.2500
2006-04-07,4.2300
2006-04-10,4.2500
2006-04-11,4.2200
2006-04-12,4.2200
2006-04-13,4.2100
2006-04-14,4.2100
2006-04-18,4.2200
2006-04-19,4.1900
2006-04-20,4.1900
2006-04-21,4.1700
2006-04-24,4.1600
2006-04-25,4.1400
2006-04-26,4.1500
2006-04-28,4.1100
2006-05-03,4.0600
2006-05-04,4.0700
2006-05-05,4.1100
2006-05-08,4.1000
2006-05-09,4.0800
2006-05-10,4.0500
2006-05-11,3.9800
2006-05-12,3.9400
2006-05-15,3.9100
2006-05-16,3.9100
2006-05-17,3.8400
2006-05-18,3.8200
2006-05-19,3.8600
2006-05-22,3.8000
2006-05-23,3.8100
2006-05-24,3.7900
2006-05-25,3.8100
2006-05-26,3.8600
2006-05-29,3.8600
2006-05-30,3.8000
2006-05-31,3.7900
2006-06-01,3.8300
2006-06-02,3.8600
2006-06-05,3.7900
2006-06-06,3.7200
2006-06-07,3.7200
2006-06-08,3.6600
2006-06-09,3.6800
2006-06-12,3.6600
2006-06-13,3.6100
2006-06-14,3.6500
2006-06-15,3.7300
2006-06-16,3.7200
2006-06-19,3.7100
2006-06-20,3.7100
2006-06-21,3.7500
2006-06-22,3.7200
2006-06-23,3.7200
2006-06-26,3.7300
2006-06-27,3.6900
2006-06-28,3.6900
2006-06-29,3.7600
2006-06-30,3.7700
2006-07-03,3.7700
2006-07-04,3.7600
2006-07-05,3.7300
2006-07-06,3.7500
2006-07-07,3.7100
2006-07-10,3.7100
2006-07-11,3.7000
2006-07-12,3.6500
2006-07-13,3.5800
2006-07-14,3.5500
2006-07-17,3.5400
2006-07-18,3.5500
2006-07-19,3.6300
2006-07-20,3.6200
2006-07-21,3.5500
2006-07-24,3.6000
2006-07-25,3.6200
2006-07-26,3.6300
2006-07-27,3.6600
2006-07-28,3.6700
2006-07-31,3.6800
2006-08-01,3.6200
2006-08-02,3.6400
2006-08-03,3.6100
2006-08-04,3.6300
2006-08-07,3.5800
2006-08-08,3.5500
2006-08-09,3.5900
2006-08-10,3.5600
2006-08-11,3.5500
2006-08-14,3.5900
2006-08-16,3.7100
2006-08-17,3.7400
2006-08-18,3.7300
2006-08-21,3.7100
2006-08-22,3.7100
2006-08-23,3.6900
2006-08-24,3.6900
2006-08-25,3.7000
2006-08-28,3.7300
2006-08-29,3.7400
2006-08-30,3.7800
2006-08-31,3.7800
2006-09-01,3.7800
2006-09-04,3.7900
2006-09-05,3.7900
2006-09-06,3.7500
2006-09-07,3.7200
2006-09-08,3.7400
2006-09-11,3.7400
2006-09-12,3.8000
2006-09-13,3.8200
2006-09-14,3.8200
2006-09-15,3.8300
2006-09-18,3.8300
2006-09-19,3.8100
2006-09-20,3.8500
2006-09-21,3.8600
2006-09-22,3.8300
2006-09-25,3.8400
2006-09-26,3.8800
2006-09-27,3.9200
2006-09-28,3.9300
2006-09-29,3.9100
2006-10-02,3.9200
2006-10-03,3.9100
2006-10-04,3.9500
2006-10-05,3.9900
2006-10-06,3.9700
2006-10-09,3.9700
2006-10-10,4.0100
2006-10-11,4.0200
2006-10-12,4.0400
2006-10-13,4.0600
2006-10-16,4.0700
2006-10-17,4.0400
2006-10-18,4.0500
2006-10-19,4.0500
2006-10-20,4.0600
2006-10-23,4.0900
2006-10-24,4.0900
2006-10-25,4.1100
2006-10-26,4.1300
2006-10-27,4.0900
2006-10-30,4.0800
2006-11-02,4.0600
2006-11-03,4.0400
2006-11-06,4.0800
2006-11-07,4.1200
2006-11-08,4.1000
2006-11-09,4.1000
2006-11-10,4.1000
2006-11-13,4.1000
2006-11-14,4.1300
2006-11-15,4.1600
2006-11-16,4.1700
2006-11-17,4.1600
2006-11-20,4.1700
2006-11-21,4.1600
2006-11-22,4.1800
2006-11-23,4.1700
2006-11-24,4.1400
2006-11-27,4.0500
2006-11-28,4.0300
2006-11-29,4.0800
2006-11-30,4.0600
2006-12-01,4.0300
2006-12-04,4.0500
2006-12-05,4.0600
2006-12-06,4.0400
2006-12-07,4.0600
2006-12-08,4.0600
2006-12-11,4.0900
2006-12-12,4.1000
2006-12-13,4.1100
2006-12-14,4.1300
2006-12-15,4.1500
2006-12-18,4.1600
2006-12-19,4.1400
2006-12-20,4.1400
2006-12-21,4.1200
2006-12-22,4.1100
2006-12-27,4.1400
2006-12-28,4.1400
2006-12-29,4.1400
2007-01-03,4.1600
2007-01-04,4.2200
2007-01-05,4.1800
2007-01-08,4.2100
2007-01-09,4.2100
2007-01-10,4.2100
2007-01-11,4.2700
2007-01-12,4.2900
2007-01-15,4.3000
2007-01-16,4.2900
2007-01-17,4.2700
2007-01-18,4.2300
2007-01-19,4.2300
2007-01-22,4.2100
2007-01-23,4.1700
2007-01-24,4.2100
2007-01-25,4.2000
2007-01-26,4.1900
2007-01-29,4.1900
2007-01-30,4.2100
2007-01-31,4.2200
2007-02-01,4.2300
2007-02-02,4.2100
2007-02-05,4.2300
2007-02-06,4.2200
2007-02-07,4.2300
2007-02-09,4.1900
2007-02-12,4.1800
2007-02-13,4.1700
2007-02-14,4.2100
2007-02-15,4.2000
2007-02-16,4.2100
2007-02-19,4.2100
2007-02-20,4.2100
2007-02-21,4.2100
2007-02-22,4.2300
2007-02-23,4.2200
2007-02-26,4.2200
2007-02-27,4.0700
2007-02-28,4.0700
2007-03-01,4.0400
2007-03-02,4.0200
2007-03-05,3.9900
2007-03-06,4.0300
2007-03-07,4.0100
2007-03-08,4.0500
2007-03-09,4.0500
2007-03-12,4.0700
2007-03-13,4.0000
2007-03-14,3.9800
2007-03-15,4.0100
2007-03-16,4.0000
2007-03-19,4.0500
2007-03-20,4.0600
2007-03-21,4.1000
2007-03-22,4.1200
2007-03-23,4.1100
2007-03-26,4.1100
2007-03-27,4.0800
2007-03-28,4.0600
2007-03-29,4.0700
2007-03-30,4.0800
2007-04-02,4.1000
2007-04-03,4.1400
2007-04-04,4.1700
2007-04-05,4.1800
2007-04-06,4.1800
2007-04-10,4.1800
2007-04-11,4.1700
2007-04-12,4.1700
2007-04-13,4.1800
2007-04-16,4.2200
2007-04-17,4.2300
2007-04-18,4.2100
2007-04-19,4.1900
2007-04-20,4.2200
2007-04-23,4.2200
2007-04-24,4.2100
2007-04-25,4.2300
2007-04-26,4.2500
2007-04-30,4.2300
2007-05-03,4.2600
2007-05-04,4.2900
2007-05-07,4.2900
2007-05-08,4.2900
2007-05-09,4.3000
2007-05-10,4.2500
2007-05-11,4.2900
2007-05-14,4.2700
2007-05-15,4.2600
2007-05-16,4.2800
2007-05-17,4.2900
2007-05-18,4.3200
2007-05-21,4.3400
2007-05-22,4.3500
2007-05-23,4.3400
2007-05-24,4.3200
2007-05-25,4.3200
2007-05-28,4.3200
2007-05-29,4.3300
2007-05-30,4.3600
2007-05-31,4.3800
2007-06-01,4.4100
2007-06-04,4.4000
2007-06-05,4.3700
2007-06-06,4.3300
2007-06-07,4.2800
2007-06-08,4.3500
2007-06-11,4.3500
2007-06-12,4.3300
2007-06-13,4.3700
2007-06-14,4.4100
2007-06-15,4.4400
2007-06-18,4.4400
2007-06-19,4.4400
2007-06-20,4.4300
2007-06-21,4.4400
2007-06-22,4.3900
2007-06-26,4.3700
2007-06-27,4.3900
2007-06-28,4.4100
2007-06-29,4.3900
2007-07-02,4.4000
2007-07-03,4.4300
2007-07-04,4.4400
2007-07-05,4.4400
2007-07-06,4.4600
2007-07-09,4.4600
2007-07-10,4.4200
2007-07-11,4.4100
2007-07-12,4.4600
2007-07-13,4.4900
2007-07-16,4.4800
2007-07-17,4.4800
2007-07-18,4.4400
2007-07-19,4.4900
2007-07-20,4.4500
2007-07-23,4.4600
2007-07-24,4.4100
2007-07-25,4.4200
2007-07-26,4.3400
2007-07-27,4.3100
2007-07-30,4.3400
2007-07-31,4.3100
2007-08-01,4.3000
2007-08-02,4.3600
2007-08-03,4.2900
2007-08-06,4.2800
2007-08-07,4.3000
2007-08-08,4.3800
2007-08-09,4.3200
2007-08-10,4.2800
2007-08-13,4.3200
2007-08-14,4.2900
2007-08-16,4.1800
2007-08-17,4.2200
2007-08-20,4.2500
2007-08-21,4.2600
2007-08-22,4.3100
2007-08-23,4.3200
2007-08-24,4.3600
2007-08-27,4.3400
2007-08-28,4.2700
2007-08-29,4.3400
2007-08-30,4.3800
2007-08-31,4.4100
2007-09-03,4.4300
2007-09-04,4.4900
2007-09-05,4.4300
2007-09-06,4.4500
2007-09-07,4.3800
2007-09-10,4.3400
2007-09-11,4.4000
2007-09-12,4.3900
2007-09-13,4.4000
2007-09-14,4.3900
2007-09-17,4.3500
2007-09-18,4.4200
2007-09-19,4.4600
2007-09-20,4.4400
2007-09-21,4.4600
2007-09-24,4.4500
2007-09-25,4.4600
2007-09-26,4.5000
2007-09-27,4.4900
2007-09-28,4.5000
2007-10-01,4.5200
2007-10-02,4.5300
2007-10-03,4.5000
2007-10-04,4.4900
2007-10-05,4.5200
2007-10-08,4.5300
2007-10-09,4.5500
2007-10-10,4.5400
2007-10-11,4.5500
2007-10-12,4.5800
2007-10-15,4.5400
2007-10-16,4.5100
2007-10-17,4.5400
2007-10-18,4.5200
2007-10-19,4.4500
2007-10-22,4.4700
2007-10-23,4.5100
2007-10-24,4.5100
2007-10-25,4.5200
2007-10-26,4.5700
2007-10-29,4.5900
2007-10-30,4.5800
2007-11-02,4.5400
2007-11-05,4.5100
2007-11-06,4.5600
2007-11-07,4.4600
2007-11-08,4.3900
2007-11-09,4.2700
2007-11-12,4.2400
2007-11-13,4.3100
2007-11-14,4.3100
2007-11-15,4.2900
2007-11-16,4.2900
2007-11-19,4.2400
2007-11-20,4.2200
2007-11-21,4.1200
