date,nav
2007-08-31,5.0000
2007-09-28,4.9800
2007-10-30,4.7300
2007-11-30,4.1800
2007-12-31,4.5000
2008-01-31,3.9800
2008-02-29,3.8000
2008-03-31,3.3100
2008-04-30,3.2900
2008-05-30,3.4300
2008-06-30,3.1200
2008-07-31,3.0700
2008-08-29,2.9200
2008-09-30,2.4600
2008-10-30,1.8500
2008-11-28,1.4600
2008-12-31,1.4500
2009-01-30,1.3700
2009-02-27,1.0900
2009-03-31,1.1300
2009-04-30,1.2700
2009-05-29,1.6400
2009-06-30,1.5600
2009-07-31,1.5500
2009-08-31,1.7300
2009-09-30,1.9200
2009-10-30,1.9000
2009-11-30,1.7400
2009-12-31,1.7000
2010-01-29,1.7300
2010-02-26,1.7000
2010-03-31,1.6800
2010-04-30,1.7300
2010-05-31,1.5900
2010-06-30,1.5000
2010-07-30,1.4800
2010-08-31,1.4800
2010-09-30,1.4700
2010-10-29,1.4700
2010-11-30,1.4500
2010-12-31,1.5000
2011-01-31,1.6200
2011-02-28,1.6400
2011-03-31,1.6400
2011-04-29,1.6100
2011-05-31,1.6400
2011-06-30,1.5700
2011-07-29,1.5100
2011-08-31,1.3600
2011-09-30,1.2900
2011-10-28,1.2700
2011-11-30,1.1700
2011-12-30,1.1500
2012-01-31,1.1200
2012-02-29,1.1600
2012-03-30,1.1600
2012-04-30,1.1400
2012-05-31,1.0900
2012-06-29,1.0800
2012-07-31,1.0900
2012-08-31,1.1000
2012-09-28,1.1100
2012-10-30,1.1300
2012-11-30,1.1400
2012-12-31,1.1700
2013-01-31,1.2600
2013-02-28,1.2600
2013-03-29,1.2800
2013-04-30,1.2600
2013-05-31,1.2200
2013-06-28,1.1900
2013-07-31,1.2000
2013-08-30,1.1900
2013-09-30,1.2100
2013-10-30,1.2000
2013-11-29,1.2000
2013-12-31,1.2500
2014-01-31,1.2300
2014-02-28,1.2300
2014-03-31,1.2000
2014-04-30,1.2100
2014-05-30,1.2300
2014-06-30,1.2200
2014-07-31,1.2400
2014-08-29,1.2600
2014-09-30,1.2700
2014-10-30,1.2800
2014-11-28,1.2900
2014-12-31,1.2600
2015-01-30,1.2500
2015-02-27,1.2400
2015-03-31,1.2500
2015-04-30,1.2900
2015-05-29,1.2900
2015-06-30,1.2700
2015-07-31,1.2800
2015-08-31,1.2500
2015-09-30,1.2500
2015-10-30,1.2800
2015-11-30,1.2800
2015-12-31,1.3000
2016-01-29,1.2600
2016-02-29,1.2400
2016-03-31,1.2700
2016-04-29,1.2900
2016-05-31,1.2800
2016-06-30,1.2700
2016-07-29,1.3100
2016-08-31,1.3400
2016-09-30,1.3700
2016-10-28,1.4100
2016-11-30,1.4400
2016-12-30,1.4500
2017-01-31,1.4700
2017-02-28,1.5300
2017-03-31,1.5100
2017-04-28,1.5000
2017-05-31,1.5200
2017-06-30,1.5400
2017-07-31,1.5700
2017-08-31,1.6000
2017-09-29,1.6000
2017-10-30,1.6200
2017-11-30,1.5600
2017-12-29,1.5600
2018-01-31,1.6100
2018-02-28,1.5700
2018-03-30,1.5400
2018-04-30,1.5500
2018-05-31,1.5200
2018-06-29,1.5500
2018-07-31,1.5700
2018-08-31,1.5500
2018-09-28,1.5600
2018-10-30,1.5500
2018-11-30,1.5500
2018-12-31,1.5300
2019-01-31,1.5300
2019-02-28,1.5500
2019-03-29,1.5900
2019-04-30,1.6200
2019-05-31,1.6400
2019-06-28,1.6600
2019-07-31,1.7000
2019-08-30,1.6700
2019-09-30,1.7500
2019-10-30,1.7400
2019-11-29,1.7700
2019-12-31,1.8000
2020-01-31,1.8100
2020-02-28,1.7100
2020-03-31,1.3900
2020-04-30,1.4700
2020-05-29,1.5200
2020-06-30,1.5400
2020-07-31,1.5400
2020-08-31,1.5500
2020-09-30,1.5700
2020-10-30,1.5400
2020-11-30,1.6200
2020-12-31,1.6900
2021-01-29,1.7200
2021-02-26,1.7300
2021-03-31,1.7600
2021-04-30,1.8200
2021-05-31,1.8500
2021-06-30,1.9000
2021-07-30,1.9200
2021-08-31,1.9700
2021-09-30,1.9900
2021-10-29,2.0100
2021-11-30,1.9700
2021-12-31,2.0300
2022-01-31,2.0500
2022-02-28,1.9300
2022-03-31,1.9700
2022-04-29,1.9900
2022-05-31,1.9700
2022-06-30,1.9600
2022-07-29,1.9800
2022-08-31,2.0000
2022-09-30,1.9000
2022-10-28,1.9400
2022-11-30,1.9700
2022-12-30,1.9900
2023-01-31,2.0400
2023-02-28,2.0900
2023-03-31,2.0900
2023-04-28,2.1100
2023-05-31,2.1200
2023-06-30,2.1200
2023-07-31,2.2000
2023-08-31,2.2100
2023-09-29,2.2400
2023-10-30,2.2100
2023-11-30,2.2300
2023-12-29,2.2500
2024-01-31,2.3400
2024-02-29,2.3300
2024-03-29,2.4300
2024-04-30,2.4300
2024-05-31,2.5000
2024-06-28,2.6100
2024-07-31,2.7200
2024-08-30,2.6500
2024-09-30,2.6300
2024-10-30,2.6200
2024-11-29,2.5600
2024-12-31,2.6200
2025-01-31,2.7900
2025-02-28,2.8400
2025-03-31,2.8000
2025-04-30,2.7700
2025-05-30,2.9700
2025-06-30,3.1100
2025-07-31,3.3300
2025-08-29,3.3100
2025-09-30,3.4300
2025-10-30,3.4900
2025-11-28,3.5000
2025-12-31,3.6600
2026-01-30,4.0600
2026-02-27,4.2200
2026-03-31,4.0200
2026-04-30,4.1900
2026-05-29,4.3700
2026-06-22,4.5900
