date,nav
2013-11-25,5.0000
2013-12-02,4.9800
2014-01-02,5.0400
2014-02-03,4.8300
2014-03-03,5.0200
2014-04-01,5.1500
2014-05-05,5.0500
2014-06-02,5.2200
2014-07-01,5.3100
2014-08-01,5.3500
2014-09-01,5.6200
2014-10-01,5.6500
2014-11-03,5.7700
2014-12-01,5.9100
2015-01-02,6.1400
2015-02-02,6.3200
2015-03-02,6.7000
2015-04-01,6.7500
2015-05-04,6.6900
2015-06-01,6.8100
2015-07-01,6.4900
2015-08-03,6.6200
2015-09-01,5.8800
2015-10-01,5.8900
2015-11-02,6.5000
2015-12-01,6.7000
2016-01-04,6.2100
2016-02-01,5.9100
2016-03-01,6.0400
2016-04-01,6.0600
2016-05-03,5.9900
2016-06-01,6.3100
2016-07-01,6.3000
2016-08-01,6.5400
2016-09-01,6.6300
2016-10-03,6.5700
2016-11-02,6.4500
2016-12-01,7.0800
2017-01-03,7.4600
2017-02-01,7.2700
2017-03-01,7.8000
2017-04-03,7.5600
2017-05-03,7.5100
2017-06-01,7.3400
2017-07-03,7.2800
2017-08-01,7.0900
2017-09-01,7.0500
2017-10-02,7.4200
2017-11-02,7.5900
2017-12-01,7.5400
2018-01-03,7.7000
2018-02-01,7.7200
2018-03-01,7.4400
2018-04-03,7.2100
2018-05-03,7.3500
2018-06-01,7.7600
2018-07-02,7.6600
2018-08-01,7.9300
2018-09-03,8.1600
2018-10-01,8.2800
2018-11-02,7.8800
2018-12-03,8.1500
2019-01-03,7.1500
2019-02-01,7.7600
2019-03-01,8.0700
2019-04-01,8.3400
2019-05-03,8.6800
2019-06-03,8.0400
2019-07-01,8.6500
2019-08-01,8.9000
2019-09-02,8.8700
2019-10-01,8.9800
2019-11-04,9.2500
2019-12-02,9.4200
2020-01-03,9.5900
2020-02-03,9.5600
2020-03-02,9.0400
2020-04-01,7.4800
2020-05-04,8.3700
2020-06-01,8.9000
2020-07-01,8.9700
2020-08-03,9.0400
2020-09-01,9.3300
2020-10-01,9.1500
2020-11-02,9.1000
2020-12-01,9.9300
2021-01-04,9.8300
2021-02-01,10.1300
2021-03-01,10.7000
2021-04-01,11.5800
2021-05-03,11.7400
2021-06-01,11.7700
2021-07-01,12.1200
2021-08-02,12.1700
2021-09-01,12.3900
2021-10-01,12.3200
2021-11-02,12.8400
2021-12-01,12.8000
2022-01-03,13.6900
2022-02-01,13.3900
2022-03-01,12.4700
2022-04-01,13.0600
2022-05-03,12.8300
2022-06-01,12.5700
2022-07-01,12.0100
2022-08-01,12.9500
2022-09-01,12.9700
2022-10-03,12.5000
2022-11-02,12.8500
2022-12-01,13.2100
2023-01-03,12.4500
2023-02-01,12.8400
2023-03-01,12.6000
2023-04-03,12.9100
2023-05-03,12.5200
2023-06-01,13.3200
2023-07-03,13.6900
2023-08-01,14.3000
2023-09-01,14.3500
2023-10-02,14.0200
2023-11-02,14.0000
2023-12-01,14.5400
2024-01-03,14.7200
2024-02-01,15.6400
2024-03-01,16.5100
2024-04-02,16.6500
2024-05-03,16.3900
2024-06-03,16.9100
2024-07-01,17.9700
2024-08-01,17.5400
2024-09-02,17.7300
2024-10-01,17.8600
2024-11-04,18.2500
2024-12-02,20.0000
2025-01-03,20.2400
2025-02-03,20.3700
2025-03-03,19.3900
2025-04-01,18.0700
2025-05-05,17.2700
2025-06-02,18.0800
2025-07-01,18.2100
2025-08-01,19.0900
2025-09-01,19.1700
2025-10-01,20.0800
2025-11-03,21.1700
2025-12-01,20.5500
2026-01-05,20.7200
2026-02-02,20.6000
2026-03-02,20.3300
2026-04-01,19.6300
2026-05-04,21.5800
2026-06-01,23.0400
