date,nav
2018-04-20,5.0000
2018-05-03,4.9500
2018-06-01,4.9500
2018-07-02,4.8200
2018-08-01,4.9800
2018-09-03,4.9200
2018-10-01,4.9000
2018-11-02,4.7000
2018-12-03,4.7400
2019-01-03,4.2300
2019-02-01,4.5500
2019-03-01,4.7400
2019-04-01,4.7400
2019-05-03,5.0200
2019-06-03,4.6400
2019-07-01,4.8700
2019-08-01,4.9000
2019-09-02,4.6900
2019-10-01,4.9000
2019-11-04,5.0900
2019-12-02,5.1200
2020-01-03,5.2900
2020-02-03,5.1000
2020-03-02,4.7100
2020-04-01,3.4500
2020-05-04,3.6900
2020-06-01,3.9300
2020-07-01,3.9400
2020-08-03,3.8500
2020-09-01,3.9400
2020-10-01,3.7600
2020-11-02,3.8100
2020-12-01,4.5000
2021-01-04,4.4800
2021-02-01,4.5100
2021-03-01,5.0400
2021-04-01,5.4000
2021-05-03,5.4600
2021-06-01,5.6700
2021-07-01,5.6000
2021-08-02,5.5200
2021-09-01,5.7400
2021-10-01,5.7800
2021-11-02,6.1700
2021-12-01,6.1200
2022-01-03,6.4400
2022-02-01,6.1400
2022-03-01,5.7200
2022-04-01,6.0400
2022-05-03,5.8300
2022-06-01,5.6800
2022-07-01,5.4400
2022-08-01,5.9000
2022-09-01,5.6500
2022-10-03,5.3200
2022-11-02,5.4000
2022-12-01,5.6700
2023-01-03,5.3500
2023-02-01,5.6300
2023-03-01,5.5000
2023-04-03,5.7200
2023-05-03,5.6800
2023-06-01,6.0800
2023-07-03,6.3100
2023-08-01,6.3700
2023-09-01,6.4500
2023-10-02,6.2500
2023-11-02,6.2900
2023-12-01,6.5500
2024-01-03,6.5900
2024-02-01,7.1000
2024-03-01,7.5700
2024-04-02,7.5700
2024-05-03,7.4200
2024-06-03,7.6400
2024-07-01,8.1000
2024-08-01,7.7700
2024-09-02,7.9600
2024-10-01,7.8600
2024-11-04,7.8900
2024-12-02,8.5500
2025-01-03,8.6500
2025-02-03,8.7900
2025-03-03,8.4600
2025-04-01,7.6300
2025-05-05,7.4700
2025-06-02,7.7400
2025-07-01,7.7000
2025-08-01,7.7800
2025-09-01,7.8300
2025-10-01,8.1700
2025-11-03,8.5800
2025-12-01,8.3900
2026-01-05,8.5600
2026-02-02,8.4200
2026-03-02,8.0800
2026-04-01,7.7100
2026-05-04,8.4500
2026-06-01,8.9200
