date,nav
2018-04-20,5.0000
2018-04-23,5.0000
2018-04-24,4.9800
2018-04-25,4.9700
2018-04-26,4.9700
2018-04-30,4.9800
2018-05-03,4.9500
2018-05-04,4.9700
2018-05-07,5.0100
2018-05-08,5.0300
2018-05-09,5.0600
2018-05-10,5.0800
2018-05-11,5.0800
2018-05-14,5.0600
2018-05-15,5.0900
2018-05-16,5.1000
2018-05-17,5.1100
2018-05-18,5.0800
2018-05-21,5.1000
2018-05-22,5.1200
2018-05-23,5.1000
2018-05-24,5.0600
2018-05-25,5.0500
2018-05-28,5.0500
2018-05-29,4.9500
2018-05-30,4.9500
2018-05-31,4.9200
2018-06-01,4.9500
2018-06-04,4.9600
2018-06-05,4.9400
2018-06-06,4.9600
2018-06-07,4.9600
2018-06-08,4.9700
2018-06-11,4.9800
2018-06-12,4.9700
2018-06-13,4.9500
2018-06-14,4.9500
2018-06-15,4.9600
2018-06-18,4.9400
2018-06-19,4.9300
2018-06-20,4.9300
2018-06-21,4.9100
2018-06-22,4.9000
2018-06-26,4.8200
2018-06-27,4.8100
2018-06-28,4.8300
2018-06-29,4.8200
2018-07-02,4.8200
2018-07-03,4.8100
2018-07-04,4.8100
2018-07-05,4.8200
2018-07-06,4.8200
2018-07-09,4.8800
2018-07-10,4.8800
2018-07-11,4.8200
2018-07-12,4.8500
2018-07-13,4.8500
2018-07-16,4.8700
2018-07-17,4.8700
2018-07-18,4.9100
2018-07-19,4.8900
2018-07-20,4.8700
2018-07-23,4.9000
2018-07-24,4.9500
2018-07-25,4.9500
2018-07-26,4.9600
2018-07-27,5.0000
2018-07-30,5.0000
2018-07-31,4.9800
2018-08-01,4.9800
2018-08-02,4.9600
2018-08-03,4.9800
2018-08-06,5.0000
2018-08-07,5.0100
2018-08-08,5.0200
2018-08-09,5.0200
2018-08-10,4.9800
2018-08-13,4.9600
2018-08-14,4.9700
2018-08-16,4.9800
2018-08-17,4.9700
2018-08-20,4.9800
2018-08-21,4.9900
2018-08-22,4.9500
2018-08-23,4.9400
2018-08-24,4.9300
2018-08-27,4.9700
2018-08-28,4.9500
2018-08-29,4.9700
2018-08-30,4.9300
2018-08-31,4.9100
2018-09-03,4.9200
2018-09-04,4.9400
2018-09-05,4.9300
2018-09-06,4.8900
2018-09-07,4.8800
2018-09-10,4.8900
2018-09-11,4.8900
2018-09-12,4.8700
2018-09-13,4.8700
2018-09-14,4.8800
2018-09-17,4.8900
2018-09-18,4.9000
2018-09-19,4.9700
2018-09-20,5.0000
2018-09-21,5.0200
2018-09-24,4.9700
2018-09-25,4.9700
2018-09-26,4.9500
2018-09-27,4.9500
2018-09-28,4.9200
2018-10-01,4.9000
2018-10-02,4.9000
2018-10-03,4.9100
2018-10-04,4.9400
2018-10-05,4.9100
2018-10-08,4.9000
2018-10-09,4.9000
2018-10-10,4.8200
2018-10-11,4.6800
2018-10-12,4.6800
2018-10-15,4.6600
2018-10-16,4.7000
2018-10-17,4.7400
2018-10-18,4.7000
2018-10-19,4.7100
2018-10-22,4.6500
2018-10-23,4.6000
2018-10-24,4.5400
2018-10-25,4.5700
2018-10-26,4.5300
2018-10-29,4.5700
2018-10-30,4.6000
2018-11-02,4.7000
2018-11-05,4.7100
2018-11-06,4.7000
2018-11-07,4.7300
2018-11-08,4.7700
2018-11-09,4.7500
2018-11-12,4.7100
2018-11-13,4.7400
2018-11-14,4.6900
2018-11-15,4.7000
2018-11-16,4.6800
2018-11-19,4.6500
2018-11-20,4.5700
2018-11-21,4.6000
2018-11-22,4.5900
2018-11-23,4.5900
2018-11-26,4.6600
2018-11-27,4.6700
2018-11-28,4.7300
2018-11-29,4.6900
2018-11-30,4.6800
2018-12-03,4.7400
2018-12-04,4.6100
2018-12-05,4.5900
2018-12-06,4.4800
2018-12-07,4.4400
2018-12-10,4.3600
2018-12-11,4.3500
2018-12-12,4.4100
2018-12-13,4.4000
2018-12-14,4.3800
2018-12-17,4.3300
2018-12-18,4.3100
2018-12-19,4.2800
2018-12-20,4.2000
2018-12-21,4.1500
2018-12-24,4.1100
2018-12-27,4.1900
2018-12-28,4.2100
2018-12-31,4.2400
2019-01-03,4.2300
2019-01-04,4.3300
2019-01-07,4.3400
2019-01-08,4.3600
2019-01-09,4.3900
2019-01-10,4.3800
2019-01-11,4.3900
2019-01-14,4.4100
2019-01-15,4.4500
2019-01-16,4.5400
2019-01-17,4.5300
2019-01-18,4.6000
2019-01-21,4.6000
2019-01-22,4.5600
2019-01-23,4.5500
2019-01-24,4.5600
2019-01-25,4.6100
2019-01-28,4.5700
2019-01-29,4.5600
2019-01-30,4.5800
2019-01-31,4.5400
2019-02-01,4.5500
2019-02-04,4.5600
2019-02-05,4.6000
2019-02-06,4.6100
2019-02-07,4.5700
2019-02-11,4.5600
2019-02-12,4.6200
2019-02-13,4.6300
2019-02-14,4.5800
2019-02-15,4.6600
2019-02-18,4.6600
2019-02-19,4.6600
2019-02-20,4.6800
2019-02-21,4.6600
2019-02-22,4.6700
2019-02-25,4.7000
2019-02-26,4.6900
2019-02-27,4.7100
2019-02-28,4.7200
2019-03-01,4.7400
2019-03-04,4.7400
2019-03-05,4.7300
2019-03-06,4.7200
2019-03-07,4.6600
2019-03-08,4.6400
2019-03-11,4.6800
2019-03-12,4.6800
2019-03-13,4.7000
2019-03-14,4.7300
2019-03-15,4.7500
2019-03-18,4.7800
2019-03-19,4.7700
2019-03-20,4.6900
2019-03-21,4.6600
2019-03-22,4.5900
2019-03-25,4.5600
2019-03-26,4.5900
2019-03-27,4.6100
2019-03-28,4.6300
2019-03-29,4.6500
2019-04-01,4.7400
2019-04-02,4.7600
2019-04-03,4.7900
2019-04-04,4.8200
2019-04-05,4.8100
2019-04-08,4.8000
2019-04-09,4.7700
2019-04-10,4.7700
2019-04-11,4.8000
2019-04-12,4.8600
2019-04-15,4.8600
2019-04-16,4.9100
2019-04-17,4.9400
2019-04-18,4.9500
2019-04-19,4.9500
2019-04-23,4.9400
2019-04-24,4.9200
2019-04-25,4.9400
2019-04-26,4.9700
2019-04-29,5.0100
2019-04-30,4.9900
2019-05-03,5.0200
2019-05-06,4.9600
2019-05-07,4.9000
2019-05-08,4.8800
2019-05-09,4.8300
2019-05-10,4.8400
2019-05-13,4.7300
2019-05-14,4.7600
2019-05-15,4.7700
2019-05-16,4.8100
2019-05-17,4.7900
2019-05-20,4.7900
2019-05-21,4.8200
2019-05-22,4.7900
2019-05-23,4.7400
2019-05-24,4.7500
2019-05-27,4.7500
2019-05-28,4.7300
2019-05-29,4.7100
2019-05-30,4.7100
2019-05-31,4.6400
2019-06-03,4.6400
2019-06-04,4.7200
2019-06-05,4.7300
2019-06-06,4.7300
2019-06-07,4.7300
2019-06-10,4.7500
2019-06-11,4.7700
2019-06-12,4.7300
2019-06-13,4.7400
2019-06-14,4.7400
2019-06-17,4.7300
2019-06-18,4.8000
