date,close
2015-12-01,4.1080
2016-01-01,3.9150
2016-02-01,3.9830
2016-03-01,4.1000
2016-04-01,4.3690
2016-05-01,4.5350
2016-06-01,4.6540
2016-07-01,4.5060
2016-08-01,4.5980
2016-09-01,4.7050
2016-10-01,4.7060
2016-11-01,5.2550
2016-12-01,5.4080
2017-01-01,5.0330
2017-02-01,5.0250
2017-03-01,4.9300
2017-04-01,4.7130
2017-05-01,4.3890
2017-06-01,4.3330
2017-07-01,4.2880
2017-08-01,4.0340
2017-09-01,4.4440
2017-10-01,4.4820
2017-11-01,4.4460
2017-12-01,4.6760
2018-01-01,4.6470
2018-02-01,4.3045
2018-03-01,4.2465
2018-04-01,4.7650
2018-05-01,5.0770
2018-06-01,5.1240
2018-07-01,5.1630
2018-08-01,5.0120
2018-09-01,5.1860
2018-10-01,4.5750
2018-11-01,4.5910
2018-12-01,3.9895
2019-01-01,4.4100
2019-02-01,4.5415
2019-03-01,4.7110
2019-04-01,4.7335
2019-05-01,4.2500
2019-06-01,4.4755
2019-07-01,4.5725
2019-08-01,4.1900
2019-09-01,4.4205
2019-10-01,4.1855
2019-11-01,4.3170
2019-12-01,4.5090
2020-01-01,4.0860
2020-02-01,3.3875
2020-03-01,2.3255
2020-04-01,2.9840
2020-05-01,2.9270
2020-06-01,2.8255
2020-07-01,2.5850
2020-08-01,2.5700
2020-09-01,2.2355
2020-10-01,2.1010
2020-11-01,2.7270
2020-12-01,2.6945
2021-01-01,2.8805
2021-02-01,3.4905
2021-03-01,3.7065
2021-04-01,3.6585
2021-05-01,3.7735
2021-06-01,4.0500
2021-07-01,3.7305
2021-08-01,3.6835
2021-09-01,4.1435
2021-10-01,4.5420
2021-11-01,4.4280
2021-12-01,4.5245
2022-01-01,5.3840
2022-02-01,5.7580
2022-03-01,6.5060
2022-04-01,6.7760
2022-05-01,7.6960
2022-06-01,6.4460
2022-07-01,7.1660
2022-08-01,7.5930
2022-09-01,7.0820
2022-10-01,8.6250
2022-11-01,8.3680
2022-12-01,7.7880
2023-01-01,7.9420
2023-02-01,7.6220
2023-03-01,7.3540
2023-04-01,7.5130
2023-05-01,7.0020
2023-06-01,7.2730
2023-07-01,7.7170
2023-08-01,7.9630
2023-09-01,8.4270
2023-10-01,7.8690
2023-11-01,7.4900
2023-12-01,7.5000
2024-01-01,7.6470
2024-02-01,7.8490
2024-03-01,8.6380
2024-04-01,8.8180
2024-05-01,8.3790
2024-06-01,8.5290
2024-07-01,8.6500
2024-08-01,8.2030
2024-09-01,7.9310
2024-10-01,8.2570
2024-11-01,9.0730
2024-12-01,8.1900
2025-01-01,8.6370
2025-02-01,8.7130
2025-03-01,8.8460
2025-04-01,7.3010
2025-05-01,7.3020
2025-06-01,7.4390
2025-07-01,7.8360
2025-08-01,7.9150
2025-09-01,7.8320
2025-10-01,7.8830
2025-11-01,8.0820
2025-12-01,7.9710
2026-01-01,8.9630
2026-02-01,9.7660
2026-03-01,11.4580
2026-04-01,10.6420
2026-05-01,10.0620
2026-06-01,9.8510
2026-07-01,9.9460
